annee;departement;amm;quantite_produit;conditionnement;eaj
2013;AIN;1030003;1700.5;L;Oui
2013;AIN;2000003;5889.0;L;Non
2013;AIN;2000017;70.70000000000002;L;Oui
2013;AIN;2000018;29940.0;K;Non
2013;AIN;2000044;749.0;L;Non
2013;AIN;2000045;6.4;L;Non
2013;AIN;2000051;219.0;L;Non
2013;AIN;2000071;14864.099999999995;K;Oui
2013;AIN;2000080;1346.0;L;Non
2013;AIN;2000087;2296.0;K;Non
2013;AIN;2000105;6.0;K;Oui
2013;AIN;2000121;350.0;K;Non
2013;AIN;2000122;3.1999999999999997;L;Non
2013;AIN;2000125;1850.8999999999996;K;Oui
2013;AIN;2000128;123.29999999999997;K;Oui
2013;AIN;2000195;80.0;K;Non
2013;AIN;2000201;143.7;L;Non
2013;AIN;2000205;5.4;K;Non
2013;AIN;2000207;425.0;L;Non
2013;AIN;2000208;8.3;L;Non
2013;AIN;2000214;1.0;L;Non
2013;AIN;2000216;1480.0;L;Non
2013;AIN;2000222;7.8999999999999995;L;Oui
2013;AIN;2000228;895.4999999999999;K;Oui
2013;AIN;2000236;5.0;L;Non
2013;AIN;2000294;360.0;K;Non
2013;AIN;2000299;234.0;L;Non
2013;AIN;2000301;50.0;L;Non
2013;AIN;2000305;110.0;L;Non
2013;AIN;2000306;2.0;L;Non
2013;AIN;2000307;9.0;L;Non
2013;AIN;2000324;5.0;L;Non
2013;AIN;2000327;528.0;L;Non
2013;AIN;2000331;9.0;L;Non
2013;AIN;2000332;2253.2;L;Non
2013;AIN;2000336;216.0;K;Non
2013;AIN;2000341;660.0;K;Non
2013;AIN;2000362;101.3;K;Oui
2013;AIN;2000364;84.0;K;Oui
2013;AIN;2000365;33.900000000000006;L;Oui
2013;AIN;2000366;141.3;L;Oui
2013;AIN;2000378;675.0;K;Non
2013;AIN;2000380;10.0;L;Non
2013;AIN;2000390;4611.200000000001;K;Oui
2013;AIN;2000405;24.0;L;Non
2013;AIN;2000415;1830.0;L;Non
2013;AIN;2000416;69.0;L;Oui
2013;AIN;2000449;170.0;L;Non
2013;AIN;2000461;735.0;L;Non
2013;AIN;2000466;0.1;L;Oui
2013;AIN;2000499;106.0;L;Non
2013;AIN;2000500;2468.0;L;Oui
2013;AIN;2000502;450.5;L;Non
2013;AIN;2000510;5272.7;K;Oui
2013;AIN;2000517;636.1;L;Oui
2013;AIN;2000536;321.0;K;Non
2013;AIN;2000538;0.4;L;Oui
2013;AIN;2000546;4.0;L;Non
2013;AIN;2010019;411.0;L;Non
2013;AIN;2010023;2673.0;L;Non
2013;AIN;2010030;2666.0;L;Non
2013;AIN;2010035;1632.8999999999999;L;Oui
2013;AIN;2010047;234.0;L;Non
2013;AIN;2010099;8.0;L;Oui
2013;AIN;2010100;4.8;L;Oui
2013;AIN;2010118;10514.0;K;Oui
2013;AIN;2010121;7.9;K;Oui
2013;AIN;2010130;8078.5;K;Non
2013;AIN;2010132;15.6;K;Non
2013;AIN;2010139;95.5;L;Non
2013;AIN;2010143;26.0;L;Oui
2013;AIN;2010157;0.8999999999999999;K;Oui
2013;AIN;2010239;4246.0;L;Non
2013;AIN;2010240;530.0;L;Non
2013;AIN;2010262;815.0;L;Non
2013;AIN;2010280;5628.0;L;Non
2013;AIN;2010282;1900.0;L;Non
2013;AIN;2010284;51.800000000000004;L;Oui
2013;AIN;2010287;0.6;K;Non
2013;AIN;2010288;30.0;K;Non
2013;AIN;2010290;10.8;L;Oui
2013;AIN;2010299;2063.3999999999996;K;Oui
2013;AIN;2010310;458.0;L;Non
2013;AIN;2010311;8.0;L;Non
2013;AIN;2010315;2.0;K;Non
2013;AIN;2010319;595.1999999999999;L;Oui
2013;AIN;2010321;5709.3;L;Oui
2013;AIN;2010326;60.0;L;Non
2013;AIN;2010328;2.1;K;Non
2013;AIN;2010332;6.0;L;Non
2013;AIN;2010335;78.69999999999999;L;Oui
2013;AIN;2010351;2917.2;K;Non
2013;AIN;2010374;23.0;K;Non
2013;AIN;2010398;1656.0;K;Non
2013;AIN;2010410;88.7;K;Oui
2013;AIN;2010415;34750.0;L;Non
2013;AIN;2010419;2521.7999999999997;K;Non
2013;AIN;2010420;360.0;L;Oui
2013;AIN;2010425;101.8;K;Non
2013;AIN;2010432;20.7;L;Oui
2013;AIN;2010438;16.4;L;Oui
2013;AIN;2010439;136.0;L;Oui
2013;AIN;2010441;260.0;L;Non
2013;AIN;2010480;72.0;K;Non
2013;AIN;2010493;568.8000000000001;K;Oui
2013;AIN;2010495;4080.0;K;Non
2013;AIN;2010499;255.0;L;Non
2013;AIN;2010502;154.0;L;Non
2013;AIN;2010508;10.0;L;Oui
2013;AIN;2010509;993.4;K;Oui
2013;AIN;2010512;16.299999999999997;L;Oui
2013;AIN;2010513;8.0;K;Non
2013;AIN;2010523;21.0;L;Non
2013;AIN;2010525;45.0;K;Non
2013;AIN;2010530;104.0;L;Oui
2013;AIN;2010531;6870.0;L;Non
2013;AIN;2010552;78.0;K;Non
2013;AIN;2010584;10.0;L;Non
2013;AIN;2010588;40.0;L;Non
2013;AIN;2010604;1.0;K;Oui
2013;AIN;2010612;17760.0;L;Oui
2013;AIN;2010617;1005.0;L;Non
2013;AIN;2010618;381.29999999999995;K;Oui
2013;AIN;2010628;38.3;K;Non
2013;AIN;2010632;177.0;K;Non
2013;AIN;2010643;22.0;L;Non
2013;AIN;2020003;4220.5;K;Oui
2013;AIN;2020020;100.0;L;Oui
2013;AIN;2020021;170.0;L;Non
2013;AIN;2020027;224.5;K;Oui
2013;AIN;2020047;90.0;L;Oui
2013;AIN;2020062;945.0;L;Non
2013;AIN;2020064;109.0;L;Non
2013;AIN;2020065;37.6;K;Oui
2013;AIN;2020069;29.0;L;Non
2013;AIN;2020099;1.0;L;Non
2013;AIN;2020110;4328.0;K;Non
2013;AIN;2020216;300.0;L;Non
2013;AIN;2020219;12.0;L;Non
2013;AIN;2020221;200.0;L;Non
2013;AIN;2020224;90.0;K;Non
2013;AIN;2020233;1600.0;K;Non
2013;AIN;2020293;40.0;L;Non
2013;AIN;2020294;345.0;L;Non
2013;AIN;2020301;7.5;L;Oui
2013;AIN;2020304;3.4;L;Oui
2013;AIN;2020318;653.4;L;Oui
2013;AIN;2020328;430.0;L;Non
2013;AIN;2020339;340.0;L;Non
2013;AIN;2020344;9155.0;K;Non
2013;AIN;2020348;145.0;L;Non
2013;AIN;2020355;0.0;L;Oui
2013;AIN;2020378;1175.2;K;Non
2013;AIN;2020439;2.0;K;Non
2013;AIN;2020448;1058.2;L;Oui
2013;AIN;2020456;1810.0;L;Non
2013;AIN;2020474;260.0;L;Non
2013;AIN;2020476;1000.0;L;Non
2013;AIN;2030010;875.0;L;Non
2013;AIN;2030011;10.0;L;Non
2013;AIN;2030050;88.1;L;Oui
2013;AIN;2030069;60.0;K;Non
2013;AIN;2030073;5415.0;K;Non
2013;AIN;2030113;5.0;L;Oui
2013;AIN;2030125;1568.4999999999998;L;Oui
2013;AIN;2030174;7.5;K;Non
2013;AIN;2030184;5.8;K;Oui
2013;AIN;2030273;464.20000000000005;L;Oui
2013;AIN;2030286;100.0;L;Oui
2013;AIN;2030290;3880.0;L;Non
2013;AIN;2030292;160.0;K;Non
2013;AIN;2030321;21.6;L;Oui
2013;AIN;2030323;1963.8000000000002;L;Non
2013;AIN;2030332;60.0;L;Oui
2013;AIN;2030404;230.0;L;Non
2013;AIN;2030430;2705.0;K;Non
2013;AIN;2030456;15.0;L;Oui
2013;AIN;2030457;4.0;K;Non
2013;AIN;2030466;48.300000000000004;K;Oui
2013;AIN;2040019;25.0;K;Non
2013;AIN;2040079;17.7;L;Oui
2013;AIN;2040080;468.0;K;Oui
2013;AIN;2040085;17.0;L;Oui
2013;AIN;2040109;176.4;K;Non
2013;AIN;2040141;7.200000000000001;L;Oui
2013;AIN;2040146;145.5;L;Non
2013;AIN;2040193;381.0;L;Non
2013;AIN;2040195;279.0;L;Non
2013;AIN;2040198;204.0;L;Non
2013;AIN;2040199;16.0;K;Non
2013;AIN;2040201;180.0;L;Non
2013;AIN;2040205;128.4;K;Oui
2013;AIN;2040212;30.0;K;Non
2013;AIN;2040310;320.0;L;Non
2013;AIN;2040321;245.6;K;Non
2013;AIN;2040322;12.4;L;Non
2013;AIN;2040323;4.0;L;Oui
2013;AIN;2040330;19204.0;K;Oui
2013;AIN;2040338;167.0;L;Non
2013;AIN;2040348;74.8;K;Non
2013;AIN;2050046;64.5;K;Non
2013;AIN;2050050;1036.1999999999998;L;Oui
2013;AIN;2050075;752.5;K;Non
2013;AIN;2050076;637.1999999999999;K;Non
2013;AIN;2050077;38.699999999999996;K;Oui
2013;AIN;2050135;52676.4;K;Non
2013;AIN;2050136;7765.0;K;Non
2013;AIN;2050142;0.7;K;Oui
2013;AIN;2050143;163.8;L;Oui
2013;AIN;2050144;723.9;L;Oui
2013;AIN;2050145;387.6;L;Oui
2013;AIN;2050146;644.4;L;Oui
2013;AIN;2060002;469.6;L;Non
2013;AIN;2060026;0.2;K;Non
2013;AIN;2060050;1253.2;L;Non
2013;AIN;2060051;126.0;L;Non
2013;AIN;2060063;3.5;K;Non
2013;AIN;2060084;4376.0;K;Non
2013;AIN;2060085;892.0;L;Non
2013;AIN;2060086;1.9;K;Non
2013;AIN;2060088;84915.0;L;Non
2013;AIN;2060091;25480.0;L;Non
2013;AIN;2060095;60.0;L;Non
2013;AIN;2060098;181.0;L;Non
2013;AIN;2060113;4.0;L;Non
2013;AIN;2060114;16.0;L;Non
2013;AIN;2060115;980.0;L;Non
2013;AIN;2060116;135.0;L;Non
2013;AIN;2060118;7600.0;L;Non
2013;AIN;2060119;0.9;K;Non
2013;AIN;2060120;526.0;L;Non
2013;AIN;2060127;2345.2;L;Non
2013;AIN;2060128;1320.0;L;Non
2013;AIN;2060129;179.39999999999998;K;Oui
2013;AIN;2060131;6310.599999999999;L;Oui
2013;AIN;2060133;207.0;L;Non
2013;AIN;2060134;1930.0;K;Non
2013;AIN;2060175;8629.1;K;Oui
2013;AIN;2060194;42322.0;K;Non
2013;AIN;2070107;2374.0;L;Non
2013;AIN;2070133;530.0;L;Non
2013;AIN;2070170;547.8;L;Oui
2013;AIN;2070184;1100.0;L;Non
2013;AIN;2070185;40.0;L;Non
2013;AIN;2070190;7.0;L;Non
2013;AIN;2080004;4.0;K;Non
2013;AIN;2080010;8350.0;L;Oui
2013;AIN;2080018;842.7;L;Oui
2013;AIN;2080019;163.1;L;Oui
2013;AIN;2080026;2671.0;L;Non
2013;AIN;2080029;1217.1;L;Non
2013;AIN;2080038;65.0;L;Non
2013;AIN;2080039;200.0;L;Non
2013;AIN;2080053;3472.2000000000003;L;Oui
2013;AIN;2080054;1111.6;L;Oui
2013;AIN;2080060;24.0;L;Non
2013;AIN;2080069;77.0;L;Non
2013;AIN;2080070;170.0;K;Non
2013;AIN;2080084;441.0;K;Non
2013;AIN;2080088;555.0;L;Non
2013;AIN;2080089;2103.9999999999995;L;Oui
2013;AIN;2080090;657.1999999999999;L;Oui
2013;AIN;2080091;116.3;K;Oui
2013;AIN;2080094;2604.0;K;Non
2013;AIN;2080097;30.0;L;Non
2013;AIN;2080098;52.1;L;Oui
2013;AIN;2080099;5050.0;K;Non
2013;AIN;2080100;25320.0;K;Non
2013;AIN;2080101;565.0;K;Non
2013;AIN;2080102;1080.0;L;Non
2013;AIN;2080103;805.0;L;Non
2013;AIN;2080107;135.0;L;Non
2013;AIN;2080109;2341.0;L;Non
2013;AIN;2080112;644.9;L;Non
2013;AIN;2080113;1030.0;K;Non
2013;AIN;2080114;240.0;L;Non
2013;AIN;2080117;19.099999999999998;K;Non
2013;AIN;2080119;7281.0;L;Non
2013;AIN;2080120;4200.0;L;Non
2013;AIN;2080121;312.0;K;Non
2013;AIN;2080129;4177.0;L;Non
2013;AIN;2080133;465.6;L;Oui
2013;AIN;2080134;29.0;L;Oui
2013;AIN;2080136;51.0;K;Non
2013;AIN;2080145;210.0;L;Non
2013;AIN;2090001;480.1;L;Non
2013;AIN;2090005;76.0;K;Non
2013;AIN;2090008;2793.0;L;Non
2013;AIN;2090011;40.0;L;Non
2013;AIN;2090016;420.0;L;Non
2013;AIN;2090019;215.0;L;Non
2013;AIN;2090021;1.0;L;Non
2013;AIN;2090024;7065.0;L;Non
2013;AIN;2090026;90.0;L;Non
2013;AIN;2090029;526.8;L;Oui
2013;AIN;2090030;251.29999999999998;K;Oui
2013;AIN;2090031;90.4;K;Non
2013;AIN;2090032;457.2;L;Oui
2013;AIN;2090033;14.799999999999999;L;Oui
2013;AIN;2090034;136.2;L;Oui
2013;AIN;2090036;4469.6;L;Oui
2013;AIN;2090037;6396.0;K;Non
2013;AIN;2090038;3748.0;L;Non
2013;AIN;2090041;2453.0;K;Non
2013;AIN;2090042;736.8000000000001;K;Non
2013;AIN;2090043;392.90000000000003;L;Oui
2013;AIN;2090044;1351.3999999999999;L;Oui
2013;AIN;2090045;36.2;L;Oui
2013;AIN;2090050;384915.0;K;Non
2013;AIN;2090052;68.0;K;Non
2013;AIN;2090053;7125.0;L;Non
2013;AIN;2090054;770.0;K;Non
2013;AIN;2090055;50.0;L;Non
2013;AIN;2090057;52.599999999999994;K;Non
2013;AIN;2090060;252.0;L;Non
2013;AIN;2090063;71.6;K;Non
2013;AIN;2090064;2465.0;L;Non
2013;AIN;2090065;120.0;K;Non
2013;AIN;2090068;1500.0;L;Non
2013;AIN;2090070;146.3;K;Non
2013;AIN;2090075;1810.0;K;Non
2013;AIN;2090078;41.7;L;Oui
2013;AIN;2090079;314.4;L;Oui
2013;AIN;2090091;119.0;K;Non
2013;AIN;2090092;1100.0;L;Non
2013;AIN;2090093;25395.0;L;Non
2013;AIN;2090094;920.0;K;Non
2013;AIN;2090101;75.0;L;Non
2013;AIN;2090107;799.1999999999999;L;Non
2013;AIN;2090112;900.0;L;Non
2013;AIN;2090113;7516.0;L;Non
2013;AIN;2090114;2.0;K;Non
2013;AIN;2090115;300.0;L;Non
2013;AIN;2090116;50.0;L;Non
2013;AIN;2090117;2058.0;L;Non
2013;AIN;2090118;4750.0;L;Non
2013;AIN;2090119;22658.0;L;Non
2013;AIN;2090121;340.0;L;Non
2013;AIN;2090124;548.1999999999999;L;Oui
2013;AIN;2090126;40560.0;L;Non
2013;AIN;2090127;160.0;L;Non
2013;AIN;2090128;405.0;L;Non
2013;AIN;2090129;199.0;L;Non
2013;AIN;2090132;9240.0;L;Non
