annee;departement;amm;quantite_produit;conditionnement;eaj
2016;AIN;1030003;4.3;L;Oui
2016;AIN;2000003;6064.5;L;Non
2016;AIN;2000017;9.7;L;Oui
2016;AIN;2000018;12740.4;K;Non
2016;AIN;2000044;594.0;L;Non
2016;AIN;2000051;5.0;L;Non
2016;AIN;2000071;6921.0;K;Oui
2016;AIN;2000087;64.0;K;Non
2016;AIN;2000122;7.2;L;Non
2016;AIN;2000125;1955.5;K;Oui
2016;AIN;2000150;5.0;L;Oui
2016;AIN;2000201;197.3;L;Non
2016;AIN;2000205;3.6;K;Non
2016;AIN;2000207;70.0;L;Non
2016;AIN;2000208;3.5;L;Non
2016;AIN;2000216;90.0;L;Non
2016;AIN;2000222;3.3;L;Oui
2016;AIN;2000228;72.0;K;Oui
2016;AIN;2000236;13.0;L;Non
2016;AIN;2000294;180.0;K;Non
2016;AIN;2000299;323.0;L;Non
2016;AIN;2000305;30.0;L;Non
2016;AIN;2000324;36.0;L;Non
2016;AIN;2000327;441.0;L;Non
2016;AIN;2000336;10.0;K;Non
2016;AIN;2000338;20.0;K;Non
2016;AIN;2000341;770.0;K;Non
2016;AIN;2000362;4.5;K;Oui
2016;AIN;2000364;6.0;K;Oui
2016;AIN;2000366;1.5;L;Oui
2016;AIN;2000369;23.7;K;Non
2016;AIN;2000390;3638.4;K;Oui
2016;AIN;2000416;7.0;L;Oui
2016;AIN;2000461;3915.0;L;Non
2016;AIN;2000500;5308.0;L;Oui
2016;AIN;2000502;24.5;L;Non
2016;AIN;2000510;6967.0;K;Oui
2016;AIN;2000517;461.6;L;Oui
2016;AIN;2000536;210.0;K;Non
2016;AIN;2010019;349.0;L;Non
2016;AIN;2010023;1368.0;L;Non
2016;AIN;2010025;885.0;L;Non
2016;AIN;2010030;950.0;L;Non
2016;AIN;2010035;4061.1000000000004;L;Oui
2016;AIN;2010047;80.0;L;Non
2016;AIN;2010100;2.0;L;Oui
2016;AIN;2010118;1674.0;K;Oui
2016;AIN;2010130;1720.0;K;Non
2016;AIN;2010132;34.0;K;Non
2016;AIN;2010139;14.7;L;Non
2016;AIN;2010239;4460.0;L;Non
2016;AIN;2010280;4960.2;L;Non
2016;AIN;2010282;1241.0;L;Non
2016;AIN;2010284;1.6;L;Oui
2016;AIN;2010299;20.1;K;Oui
2016;AIN;2010310;55.0;L;Non
2016;AIN;2010315;0.3;K;Non
2016;AIN;2010319;396.90000000000003;L;Oui
2016;AIN;2010321;317.7;L;Oui
2016;AIN;2010335;10.5;L;Oui
2016;AIN;2010351;1839.0;K;Non
2016;AIN;2010410;452.4;K;Oui
2016;AIN;2010415;43265.0;L;Non
2016;AIN;2010419;1274.4;K;Non
2016;AIN;2010425;28.7;K;Non
2016;AIN;2010427;60.0;L;Non
2016;AIN;2010432;5.7;L;Oui
2016;AIN;2010438;32.0;L;Oui
2016;AIN;2010439;110.2;L;Oui
2016;AIN;2010441;80.0;L;Non
2016;AIN;2010493;733.6;K;Oui
2016;AIN;2010495;2670.0;K;Non
2016;AIN;2010499;2815.0;L;Non
2016;AIN;2010509;756.9;K;Oui
2016;AIN;2010512;2.6;L;Oui
2016;AIN;2010513;728.0;K;Non
2016;AIN;2010525;4.0;K;Non
2016;AIN;2010530;1.8;L;Oui
2016;AIN;2010531;6740.0;L;Non
2016;AIN;2010537;2.2;K;Non
2016;AIN;2010584;15.0;L;Non
2016;AIN;2010588;10.0;L;Non
2016;AIN;2010612;4020.0;L;Oui
2016;AIN;2010618;409.1;K;Oui
2016;AIN;2010632;46.0;K;Non
2016;AIN;2010640;10.0;K;Non
2016;AIN;2020003;2903.2;K;Oui
2016;AIN;2020020;6.0;L;Oui
2016;AIN;2020021;10.0;L;Non
2016;AIN;2020027;1.0;K;Oui
2016;AIN;2020047;10.0;L;Oui
2016;AIN;2020062;60.0;L;Non
2016;AIN;2020065;51.4;K;Oui
2016;AIN;2020069;45.0;L;Non
2016;AIN;2020110;1706.8;K;Non
2016;AIN;2020199;6.4;K;Non
2016;AIN;2020216;3.0;L;Non
2016;AIN;2020219;1.0;L;Non
2016;AIN;2020226;1.0;L;Non
2016;AIN;2020233;3700.0;K;Non
2016;AIN;2020238;20.0;L;Oui
2016;AIN;2020267;6.0;K;Non
2016;AIN;2020301;63.0;L;Oui
2016;AIN;2020318;211.79999999999998;L;Oui
2016;AIN;2020328;590.0;L;Non
2016;AIN;2020339;25.0;L;Non
2016;AIN;2020348;255.0;L;Non
2016;AIN;2020426;3.0;L;Oui
2016;AIN;2020448;3.8;L;Oui
2016;AIN;2020456;360.0;L;Non
2016;AIN;2020474;715.0;L;Non
2016;AIN;2030010;984.0;L;Non
2016;AIN;2030073;165.0;K;Non
2016;AIN;2030125;977.0;L;Oui
2016;AIN;2030174;2.6;K;Non
2016;AIN;2030175;1806.2;K;Oui
2016;AIN;2030255;3645.0;L;Non
2016;AIN;2030273;369.6;L;Oui
2016;AIN;2030286;5.6;L;Oui
2016;AIN;2030321;3.0;L;Oui
2016;AIN;2030323;1391.4;L;Non
2016;AIN;2030332;1944.6;L;Oui
2016;AIN;2030404;1493.0;L;Non
2016;AIN;2030457;6.5;K;Non
2016;AIN;2030466;16.2;K;Oui
2016;AIN;2040019;25.0;K;Non
2016;AIN;2040079;13.5;L;Oui
2016;AIN;2040080;561.0;K;Oui
