,,,,,,,,,
,,,,,,,,,
"Campagne","Mois","Rouges et Rosés",,,,"Blancs",,,
,,"Vin AOP","Vin IGP","Vin sans IG avec mention de cépages","Vin sans IG sans mention de cépages","Vin AOP","Vin IGP","Vin sans IG avec mention de cépages","Vin sans IG sans mention de cépages"
"2009-2010","août","n.d.",48.81,"n.s.",39.7,"nd.",81.65,"n.s.",58.42
,"septembre","n.d.",51.03,"n.s.",40.31,"nd.",88.18,"n.s.",55.32
,"octobre","n.d.",51.26,"n.s.",42.24,"nd.",87.49,"n.s.",59.46
,"novembre","n.d.",48.94,"n.s.",43.69,"nd.",81.33,"n.s.",57.02
,"décembre","n.d.",55.38,"n.s.",44.7,"nd.",86.8,"n.s.",44.11
,"janvier","n.d.",56.37,"n.s.",45.48,"nd.",81.19,"n.s.",48.35
,"février","n.d.",56.48,"n.s.",45.77,"nd.",81.69,"n.s.",52.11
,"mars","n.d.",57.2,"n.s.",45.09,"nd.",82.77,"n.s.",53.31
,"avril","n.d.",57.44,"n.s.",43.8,"nd.",81.31,"n.s.",22.44
,"mai","n.d.",56.92,"n.s.",46.33,"nd.",82.39,"n.s.",50.66
,"juin","n.d.",57.8,"n.s.",47.21,"nd.",80.54,"n.s.",50.74
,"juillet","n.d.",62.3,"n.s.",46.84,"nd.",72.97,"n.s.",42.65
"2010-2011","août","n.d.",57.06,"n.s.",45.62,"nd.",83.66,"n.s.",45.17
,"septembre","n.d.",59.93,"n.s.",44.23,"nd.",81.03,"n.s.",30.87
,"octobre","n.d.",59.97,"n.s.",51.95,"nd.",86.4,"n.s.",42.47
,"novembre","n.d.",61.76,"n.s.",51.98,"nd.",85.48,"n.s.",42.82
,"décembre","n.d.",64.53,"n.s.",53.33,"nd.",88.03,"n.s.",51.47
,"janvier","n.d.",66.84,66.62,55.73,"nd.",85.11,75.2,51.89
,"février","n.d.",66.9,65.87,56.14,"nd.",83.73,72.96,46.76
,"mars","n.d.",69.37,67.84,56.03,"nd.",85.18,68.84,44.07
,"avril","n.d.",67.78,57.87,51.94,"nd.",90.97,69.63,34.82
,"mai","n.d.",70.8,68.59,59.63,"nd.",84.51,68.05,39.77
,"juin","n.d.",77.76,63.21,56.51,"nd.",89.19,67.98,35.05
,"juillet","n.d.",70.94,60.94,57.64,"nd.",96.01,68.79,30.19
"2011-2012","août","n.d.",69.47,65.07,58.17,"nd.",69.78,61.94,38.34
,"septembre","n.d.",69.07,61.89,54.62,"nd.",85.78,64.81,34.32
,"octobre","n.d.",65.6,59.84,56.11,"nd.",86.72,64.08,38.74
,"novembre","n.d.",66.76,58.86,53.07,"nd.",80.96,72.31,41.99
,"décembre","n.d.",69.16,59.28,55.82,"nd.",79,69.55,50.05
,"janvier","n.d.",69.86,60.85,55.92,"nd.",81.76,75.34,46.07
,"février","n.d.",70.48,61.68,55.12,"nd.",82.29,71,49.76
,"mars","n.d.",69.87,60.96,54.42,"nd.",79.87,65.94,46.31
,"avril","n.d.",70.33,60.65,54.81,"nd.",79.95,62.47,49.17
,"mai","n.d.",68.53,60.79,53.4,"nd.",84.38,66.96,48.65
,"juin","n.d.",71.49,59.87,53.08,"nd.",81.6,63.62,49.4
,"juillet","n.d.",72.08,57.68,51.34,"nd.",79.87,59.57,48.39
"2012-2013","août","n.d.",67.16,60.85,48.94,"nd.",81.24,59.06,48.54
,"septembre","n.d.",64.78,59.71,50.24,"nd.",72.33,60.29,49.76
,"octobre","n.d.",70.36,65.94,56.99,"nd.",86.29,70.45,58.42
,"novembre","n.d.",73.44,67.65,60.59,"nd.",84.29,76.04,61.36
,"décembre","n.d.",75.63,69.05,61.21,"nd.",85.9,79.67,68.08
,"janvier","n.d.",75.42,69.56,64.98,"nd.",85.02,84.36,71.5
,"février","n.d.",75.15,71,64.54,"nd.",87.48,82.13,66.6
,"mars","n.d.",75.49,72,63.54,"nd.",86.35,79.76,70.65
,"avril","n.d.",75.05,69.71,61.81,"nd.",89.14,78.97,69.76
,"mai","n.d.",74.27,69.3,59.93,"nd.",88.08,77.27,67.23
,"juin","n.d.",75.36,65.66,58.26,"nd.",90.83,79.1,67.45
,"juillet","n.d.",77.67,67.01,59.56,"nd.",88.1,77.76,68.98
"2013-2014","août","n.d.",74.17,68.84,57.94,"nd.",86.45,72.67,67.75
,"septembre","n.d.",73.74,65.43,60.17,"nd.",86.68,78.7,69.25
,"octobre","n.d.",75.82,69.13,66.24,"nd.",86.91,84.15,70.9
,"novembre","n.d.",75.72,69.13,66.88,"nd.",87.76,84.15,71.82
,"décembre","n.d.",77.7,73.7,67.56,"nd.",92.13,85.48,74.83
,"janvier","n.d.",78.08,74.42,66.98,"nd.",89.82,86.4,76.59
