annee;n_dep;n_declar;surface;s_aop;s_gnac;s_autres;q_aop_b;q_aop_r;q_gnac;q_igp_b;q_igp_r;q_b;q_r;qq_b;qq_r;qq_total
2010;01 AIN;1 005;872;573;;299;24 710;16 047;;567;136;3 971;10 781;29 248;26 964;56 212
2010;02 AISNE;987;2 407;2 400;;7;168 835;;;;;17 769;19;186 604;19;186 623
2010;03 ALLIER;401;862;541;;321;4 393;11 294;;49;103;465;3 907;4 907;15 304;20 211
2010;04 ALPES-HTE-PR;217;697;265;;432;1 234;9 769;;3 973;19 686;395;4 985;5 602;34 440;40 042
2010;05 ALPES-HAUTES;211;215;;;215;;;;761;3 558;69;655;830;4 213;5 043
2010;06 ALPES-Mmes;143;118;50;;68;543;785;;329;584;46;403;918;1 772;2 690
2010;07 ARDECHE;2 750;11 088;2 910;;8 178;7 050;96 003;;75 298;327 483;1 113;14 658;83 461;438 144;521 605
2010;08 ARDENNES;2;1;;;1;;;;;;16;12;16;12;28
2010;09 ARIEGE;80;70;;;70;;;;216;1 328;14;428;230;1 756;1 986
2010;10 AUBE;2 798;7 038;6 997;;41;473 091;;;;;26 184;988;499 275;988;500 263
2010;11 AUDE;6 593;67 078;20 526;;46 552;106 258;649 895;;440 199;2 245 202;12 433;148 671;558 890;3 043 768;3 602 658
2010;12 AVEYRON;1 301;739;353;;386;325;9 920;;107;722;260;6 495;692;17 137;17 829
2010;13 BOUCHES-DU-R;1 599;10 290;6 640;;3 650;16 264;304 831;;16 371;176 378;1 199;15 684;33 834;496 893;530 727
2010;14 CALVADOS;1;3;;;3;;;;;;115;15;115;15;130
2010;15 CANTAL;22;11;2;;9;14;76;;42;124;3;67;59;267;326
2010;16 CHARENTE;4 239;39 537;140;37 037;2 360;4 735;4 624;3 979 127;6 170;21 690;209 493;94 687;4 199 525;121 001;4 320 526
2010;17 CHARENTE-MAR;5 647;39 075;854;33 836;4 385;27 302;35 642;3 615 958;30 349;49 977;539 863;99 515;4 213 472;185 134;4 398 606
2010;18 CHER;850;3 918;3 765;;153;172 848;47 977;;902;1 035;457;2 512;174 207;51 524;225 731
2010;19 CORREZE;894;239;;;239;;;;523;1 530;14;2 982;537;4 512;5 049
2010;2A CORSE SUD;79;854;706;;148;3 450;23 678;;429;3 967;236;3 123;4 115;30 768;34 883
2010;2B CORSE(HTE);296;4 968;2 034;;2 934;11 037;74 026;;33 640;201 630;13 924;7 135;58 601;282 791;341 392
2010;21 COTE D'OR;1 816;9 452;9 344;;108;147 752;227 153;;802;385;1 148;1 754;149 702;229 292;378 994
2010;22 COTES-D'ARMOR;;0;;;;;;;;;;;0;0;
2010;23 CREUSE;;0;;;;;;;;;;;0;0;
2010;24 DORDOGNE;2 919;12 660;11 637;12;1 011;216 065;336 905;1 112;1 129;5 823;8 907;21 795;227 213;364 523;591 736
2010;25 DOUBS;191;49;;;49;;;;263;129;412;287;675;416;1 091
2010;26 DROME;2 210;17 037;14 445;;2 592;106 036;468 309;;11 554;93 066;2 018;10 791;119 608;572 166;691 774
2010;27 EURE;;0;;;;;;;;;;;0;0;
2010;28 EURE-ET-LOIR;2;1;;;1;;;;;;9;3;9;3;12
2010;29 FINISTERE;;0;;;;;;;;;;;0;0;
2010;30 GARD;5 047;54 774;20 020;;34 754;40 939;790 990;;280 319;1 747 948;33 820;179 372;355 078;2 718 310;3 073 388
2010;31 GARONNE(HTE);686;1 769;1 034;;735;;42 346;;1 068;29 189;354;7 700;1 422;79 235;80 657
2010;32 GERS;1 906;18 651;1 806;1 663;15 182;21 886;78 795;146 170;918 971;138 775;191 189;84 600;1 278 216;302 170;1 580 386
2010;33 GIRONDE;8 344;117 182;115 376;;1 806;625 513;5 061 919;;518;8 460;36 543;254 743;662 574;5 325 122;5 987 696
2010;34 HERAULT;10 771;80 518;14 892;;65 626;103 419;408 318;;776 713;2 969 414;33 482;284 116;913 614;3 661 848;4 575 462
2010;35 ILLE-ET-VIL;;0;;;;;;;;;;;0;0;
2010;36 INDRE;986;640;264;;376;7 675;6 826;;3 564;4 890;3 109;7 102;14 348;18 818;33 166
2010;37 INDRE-ET-L;2 137;10 253;9 425;;828;183 187;283 401;;3 564;6 914;13 626;22 899;200 377;313 214;513 591
2010;38 ISERE;2 162;616;175;;441;9 259;647;;1 174;1 823;2 481;6 510;12 914;8 980;21 894
2010;39 JURA;1 704;2 414;2 123;;291;57 650;25 310;;243;140;3 478;2 862;61 371;28 312;89 683
2010;40 LANDES;718;2 164;732;411;1 021;2 698;16 090;34 781;41 322;17 009;14 212;9 916;93 013;43 015;136 028
2010;41 LOIR-ET-CHER;958;6 854;4 840;;2 014;154 734;116 374;;52 546;30 710;28 048;35 218;235 328;182 302;417 630
2010;42 LOIRE;725;1 041;628;;413;5 065;17 430;;2 659;5 291;1 417;3 799;9 141;26 520;35 661
2010;43 LOIRE(HAUTE);220;46;;;46;;;;;;26;820;26;820;846
2010;44 LOIRE ATLAN;1 832;14 374;10 984;;3 390;574 192;4 797;;59 858;64 877;124 713;61 074;758 763;130 748;889 511
2010;45 LOIRET;133;223;137;;86;2 175;3 032;;191;1 180;427;1 396;2 793;5 608;8 401
2010;46 LOT;2 506;5 211;3 852;;1 359;;116 034;;1 908;27 366;181;15 883;2 089;159 283;161 372
2010;47 LOT-ET-GAR;2 026;6 433;4 886;31;1 516;42 881;217 952;2 823;43 450;25 386;11 762;31 123;100 916;274 461;375 377
2010;48 LOZERE;16;8;;;8;;;;35;84;;57;35;141;176
2010;49 MAINE-ET-L;2 174;19 463;17 351;;2 112;280 412;678 101;;49 088;28 634;28 237;41 146;357 737;747 881;1 105 618
2010;50 MANCHE;;0;;;;;;;;;;;0;0;
2010;51 MARNE;12 316;23 902;23 899;;3;1 672 009;;;;;117 762;86;1 789 771;86;1 789 857
2010;52 MARNE(HAUTE);279;136;34;;102;2 460;;;1 089;941;419;814;3 968;1 755;5 723
2010;53 MAYENNE;2;1;;;1;;;;35;;21;21;56;21;77
2010;54 MEURTHE-&-M;249;122;67;;55;494;2 489;;;;547;1 139;1 041;3 628;4 669
2010;55 MEUSE;44;38;;;38;;;;755;614;186;104;941;718;1 659
2010;56 MORBIHAN;;0;;;;;;;;;;;0;0;
2010;57 MOSELLE;153;165;74;;91;844;548;;;;517;294;1 361;842;2 203
2010;58 NIEVRE;466;1 524;1 391;;133;72 805;2 732;;1 605;1 016;511;1 289;74 921;5 037;79 958
2010;59 NORD;1;1;;;1;;;;;;8;1;8;1;9
2010;60 OISE;1;1;;;1;;;;;;3;1;3;1;4
2010;61 ORNE;;0;;;;;;;;;;;0;0;
2010;62 PAS-DE-CAL;;0;;;;;;;;;;;0;0;
2010;63 PUY-DE-DOME;1 270;580;268;;312;1 123;8 805;;383;2 454;205;7 287;1 711;18 546;20 257
2010;64 PYRENEES-AT;1 341;2 579;2 356;;223;53 398;45 842;;512;1 470;4 385;5 892;58 295;53 204;111 499
2010;65 PYRENEES(HTE);886;403;216;;187;992;9 716;;57;977;348;5 015;1 397;15 708;17 105
2010;66 PYRENEES-OR;3 395;25 431;19 161;;6 270;169 746;278 127;;64 332;176 553;4 278;21 654;238 356;476 334;714 690
2010;67 RHIN(BAS);2 798;6 643;6 557;;86;398 207;25 563;;;;8 092;555;406 299;26 118;432 417
2010;68 RHIN (HAUT);2 851;8 954;8 905;;49;435 141;32 563;;;;3 231;281;438 372;32 844;471 216
2010;69 RHONE;3 264;18 113;17 843;;270;37 485;785 645;;566;2 030;3 499;20 734;41 550;808 409;849 959
2010;70 SAONE(HAUTE);454;140;;;140;;;;1 330;1 286;523;1 192;1 853;2 478;4 331
2010;71 SAONE-ET-L;2 794;12 927;12 784;;143;470 574;209 303;;305;255;8 022;4 353;478 901;213 911;692 812
2010;72 SARTHE;401;263;155;;108;3 384;1 685;;17;469;915;2 138;4 316;4 292;8 608
2010;73 SAVOIE;1 179;2 046;1 799;;247;73 894;31 939;;3 912;1 108;4 808;5 681;82 614;38 728;121 342
2010;74 SAVOIE(HTE);230;277;142;;135;5 491;768;;307;91;5 514;2 249;11 312;3 108;14 420
