annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;qq_b;qq_rg;qq_rs;qq_gnac;qq_nc;qq_total
2013;01 AIN;755;803;545;;16;242;11 081;2 800;11 287;433;102;90;3 857;2 550;6 142;15 371;5 451;17 519;;219;38 559
2013;02 AISNE;829;2 474;2 467;;0;7;202 515;0;0;0;0;0;423;14;3;202 938;14;3;;16 673;219 627
2013;03 ALLIER;306;685;553;;6;125;4 436;9 391;3 150;42;132;0;436;874;1 220;4 914;10 397;4 370;;351;20 032
2013;04 ALPES-HTE-PR;114;711;267;;338;106;1 577;3 768;7 058;2 716;4 518;10 831;424;922;3 431;4 717;9 208;21 320;;1 022;36 266
2013;05 ALPES-HAUTES;153;144;0;;102;41;0;0;0;1 197;2 023;1 611;62;330;10;1 258;2 352;1 621;;223;5 455
2013;06 ALPES-Mmes;106;125;56;;25;44;426;368;206;168;257;191;14;196;27;607;821;425;;26;1 879
2013;07 ARDECHE;2 147;10 405;2 693;;7 095;617;6 520;84 371;5 964;82 186;279 271;25 665;12 905;9 792;825;101 610;373 433;32 454;;10 399;517 896
2013;08 ARDENNES;8;1;0;;0;1;0;0;0;0;0;0;12;4;2;12;4;2;;0;18
2013;09 ARIEGE;51;161;0;;22;139;0;0;0;19;545;125;78;349;127;97;894;252;;10;1 251
2013;10 AUBE;2 747;7 088;7 065;;0;23;535 566;0;0;0;0;0;272;427;190;535 838;427;190;;17 774;554 229
2013;11 AUDE;5 916;65 614;19 108;;41 229;5 277;118 174;566 989;64 519;549 917;1 931 403;225 942;73 258;265 363;36 666;741 349;2 763 754;327 127;;60 190;3 892 421
2013;12 AVEYRON;936;556;278;;38;240;244;6 525;1 711;95;591;157;153;3 593;148;493;10 709;2 015;;206;13 423
2013;13 BOUCHES-DU-R;1 263;10 001;6 549;;3 200;252;16 696;29 535;241 894;11 578;68 856;112 283;4 366;3 053;3 087;32 640;101 444;357 264;;16 484;507 832
2013;14 CALVADOS;1;6;0;;5;1;0;0;0;132;33;0;1;0;0;133;33;0;;1;168
2013;15 CANTAL;22;11;2;;6;3;15;34;20;31;53;5;0;55;0;46;143;25;;5;219
2013;16 CHARENTE;3 627;39 058;115;37 635;468;840;2 812;0;3 269;5 682;14 013;0;6 217;22 258;4;14 711;36 271;3 274;3 848 052;4 948;3 907 256
2013;17 CHARENTE-MAR;4 634;38 705;831;35 467;1 175;1 232;26 112;0;28 056;23 114;35 398;55;22 809;24 176;1;72 035;59 574;28 112;3 812 361;7 768;3 979 850
2013;18 CHER;752;4 114;3 965;;44;105;178 390;29 411;17 095;1 080;440;372;527;1 453;381;179 998;31 304;17 848;;362;229 513
2013;19 CORREZE;650;179;0;;61;117;0;0;0;304;903;744;35;1 541;4;339;2 444;748;;0;3 530
