annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_igp_vci;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2015;01 AIN;382;758;552;0;17;189;12 323;2 897;12 658;0;443;80;91;0;2 977;1 673;5 847;0;38 989;244;39 233
2015;02 AISNE;804;2 441;2 436;0;0;5;164 777;0;0;0;0;0;0;0;349;8;0;0;165 134;14 343;179 477
2015;03 ALLIER;209;647;553;0;8;86;7 394;12 767;3 382;0;0;100;0;0;548;653;1 580;0;26 424;679;27 103
2015;04 ALPES-HTE-PR;78;674;282;0;319;72;1 609;5 278;6 583;0;2 915;6 129;13 148;0;213;879;3 714;0;40 468;1 265;41 733
2015;05 ALPES-HAUTES;110;116;0;0;101;15;0;0;0;0;878;1 919;1 055;0;88;226;7;0;4 174;282;4 456
2015;06 ALPES-Mmes;31;86;54;0;26;6;580;521;282;0;142;384;181;0;7;60;24;0;2 180;65;2 245
2015;07 ARDECHE;1825;10 321;2 665;0;7 015;640;9 293;89 773;6 597;430;81 450;185 735;116 086;0;8 601;10 564;1 107;0;509 635;11 309;520 944
2015;08 ARDENNES;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;5;0;5
2015;09 ARIEGE;42;67;0;0;53;15;0;0;0;0;179;1 511;377;0;16;397;15;0;2 494;51;2 544
2015;10 AUBE;2647;6 968;6 951;0;0;16;479 698;0;0;0;0;0;0;0;204;274;119;0;480 294;34 377;514 671
2015;11 AUDE;5535;67 810;19 683;0;44 433;3 694;114 027;599 713;68 984;0;584 468;1 869 845;271 893;167;63 675;219 792;24 696;0;3 817 261;67 500;3 884 761
2015;12 AVEYRON;150;404;280;0;41;83;363;9 248;1 657;0;202;743;135;0;97;1 227;187;0;13 859;364;14 223
2015;13 BOUCHES-DU-R;1166;10 151;6 670;0;3 205;275;19 157;38 795;283 397;591;12 786;71 070;153 658;0;10 380;4 912;4 958;0;599 704;23 155;622 859
2015;14 CALVADOS;1;5;0;0;5;0;0;0;0;0;113;69;0;0;1;0;0;0;183;0;183
2015;15 CANTAL;9;8;2;0;5;1;16;43;20;0;38;55;8;0;5;23;0;0;208;4;212
