annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2016;01 AIN;321;778;540;0;20;218;13 284;2 992;13 615;0;745;137;192;4 635;2 137;7 383;0;45 120;315;45 435
2016;02 AISNE;780;2 429;2 424;0;0;4;148 045;0;0;0;0;0;0;150;0;0;0;148 195;9 150;157 345
2016;03 ALLIER;134;610;539;0;9;61;6 570;12 855;3 211;0;193;99;0;354;523;1 159;0;24 964;537;25 500
2016;04 ALPES-HTE-PR;69;778;286;0;444;48;1 580;4 835;6 916;0;2 916;6 680;15 948;393;827;2 444;0;42 539;1 177;43 717
2016;05 ALPES-HAUTES;110;138;0;0;105;32;0;0;0;0;1 542;2 564;1 465;105;215;7;0;5 899;409;6 308
2016;06 ALPES-Mmes;43;84;51;0;28;5;577;551;257;0;269;494;263;3;124;15;0;2 552;41;2 593
2016;07 ARDECHE;1751;10 436;2 678;0;6 978;781;10 335;100 059;7 026;1 985;100 748;220 601;175 998;21 765;20 977;3 363;0;662 857;14 450;677 308
2016;09 ARIEGE;29;64;0;0;50;14;0;0;0;0;206;1 579;351;12;214;7;0;2 369;32;2 401
2016;10 AUBE;2582;7 091;6 988;0;0;104;328 653;0;0;0;0;0;0;63;63;44;0;328 822;9 283;338 105
2016;11 AUDE;5408;64 370;19 640;0;41 611;3 120;116 707;548 086;62 302;39;584 108;1 793 488;209 396;44 210;160 263;12 558;0;3 531 156;56 656;3 587 812
2016;12 AVEYRON;143;454;287;0;50;117;398;10 499;1 889;0;222;1 028;181;128;1 475;241;0;16 062;536;16 598
2016;13 BOUCHES-DU-R;1133;10 313;6 834;0;3 235;244;19 478;34 984;281 761;57;17 066;59 418;149 504;6 831;2 488;1 855;0;573 442;21 251;594 693
2016;14 CALVADOS;1;5;0;0;5;0;0;0;0;0;73;60;0;0;0;0;0;133;0;133
2016;15 CANTAL;6;8;2;0;5;1;18;48;25;0;23;50;0;2;8;0;0;175;6;180
2016;16 CHARENTE;2844;39 155;147;37 890;405;713;4 062;0;3 600;0;6 270;15 155;1 295;10 811;16 306;575;3 606 843;3 664 917;4 055;3 668 972
2016;17 CHARENTE-MAR;3877;38 924;1 017;35 805;1 115;987;35 514;340;36 326;0;27 030;39 395;7 386;53 481;29 280;3 169;3 920 704;4 152 626;8 541;4 161 166
2016;18 CHER;550;4 170;4 071;0;62;37;162 137;21 632;15 762;0;1 119;996;408;181;323;155;0;202 712;457;203 169
2016;19 CORREZE;239;127;0;0;73;54;0;0;0;0;676;1 214;389;16;1 002;27;0;3 323;1;3 324
2016;21 COTE D'OR;1490;9 669;9 581;0;28;60;105 022;163 728;943;57;125;179;7;362;320;35;0;270 777;3 089;273 866
2016;24 DORDOGNE;1296;11 514;10 441;18;368;687;202 924;272 269;44 659;9 796;5 323;21 879;4 811;14 815;29 557;4 658;1 547;612 239;24 597;636 836
2016;25 DOUBS;57;77;0;0;7;69;0;0;0;0;150;22;20;625;601;8;0;1 426;16;1 442
2016;26 DROME;1635;16 041;13 653;0;2 104;283;120 275;486 103;38 633;9 800;19 458;104 539;20 602;2 171;15 234;1 056;0;817 873;30 481;848 353
2016;28 EURE-ET-LOIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;7
2016;2A CORSE SUD;47;875;722;0;74;79;4 809;14 036;9 699;0;597;1 328;3 576;625;1 662;1 168;0;37 499;1 053;38 552
2016;2B CORSE(HTE);233;4 974;2 016;0;2 701;256;14 303;21 215;49 676;0;23 741;41 419;168 545;8 413;5 868;8 129;0;341 309;8 877;350 185
2016;30 GARD;3924;52 491;19 307;0;30 630;2 554;57 160;702 131;143 128;9 184;399 408;1 163 850;653 086;40 354;179 447;34 131;0;3 381 878;87 824;3 469 702
2016;31 GARONNE(HTE);252;1 492;842;0;482;168;0;31 279;13 010;0;676;20 353;19 972;357;7 286;691;0;93 623;2 328;95 950
2016;32 GERS;1240;18 172;1 751;1 607;11 151;3 664;20 603;66 298;13 651;0;911 388;82 569;103 487;500 707;15 334;20 676;158 687;1 893 400;30 847;1 924 247
2016;33 GIRONDE;6662;114 074;111 075;12;237;2 750;655 637;4 929 087;213 877;236 726;8 875;14 188;3 007;38 169;201 468;39 299;0;6 340 333;367 347;6 707 680
2016;34 HERAULT;8844;81 059;16 174;0;60 145;4 740;132 651;356 240;98 361;0;941 725;2 008 941;685 012;61 527;213 225;33 288;0;4 530 968;98 614;4 629 582
2016;36 INDRE;204;536;317;0;97;122;8 045;3 532;2 189;0;3 401;2 248;366;457;1 400;880;0;22 518;297;22 815
2016;37 INDRE-ET-L;1016;9 609;8 964;0;119;526;125 246;127 555;20 501;9;1 585;1 295;635;7 567;2 953;8 590;0;295 935;5 766;301 701
2016;38 ISERE;538;417;152;0;70;195;8 615;655;153;60;1 043;1 750;135;1 877;4 258;178;0;18 723;147;18 869
2016;39 JURA;864;3 377;2 000;0;20;1 357;63 311;19 631;3 623;0;202;83;0;3 785;2 247;256;0;93 138;1 499;94 637
2016;40 LANDES;341;1 637;330;338;617;352;3 017;8 316;6 786;0;32 971;6 495;10 383;34 498;1 362;2 711;31 711;138 249;3 367;141 616
2016;41 LOIR-ET-CHER;501;6 390;5 063;0;682;644;145 602;40 580;31 553;78;21 127;9 514;3 610;6 602;5 213;6 413;0;270 292;4 519;274 811
2016;42 LOIRE;283;985;624;0;188;173;6 733;17 611;1 453;0;4 498;5 405;2 136;2 489;3 517;1 337;0;45 180;614;45 794
2016;43 LOIRE(HAUTE);48;12;0;0;0;12;0;0;0;0;0;0;0;19;94;40;0;152;0;152
2016;44 LOIRE ATLAN;746;11 057;8 156;0;1 602;1 299;237 501;1 280;1 716;0;40 229;12 757;23 899;21 529;6 866;21 989;0;367 764;6 158;373 922
2016;45 LOIRET;41;138;114;0;8;16;1 046;931;258;0;35;150;0;32;87;117;0;2 657;37;2 695
2016;46 LOT;617;4 812;3 444;0;1 016;352;0;143 492;1 116;720;3 076;55 735;13 756;565;12 890;2 307;0;233 657;5 317;238 975
2016;47 LOT-ET-GAR;1231;5 914;4 208;33;926;746;31 247;165 739;53 475;927;55 974;25 782;11 059;32 322;26 601;6 459;3 531;413 116;21 549;434 665
2016;48 LOZERE;5;11;0;0;11;0;0;0;0;0;100;148;45;1;6;0;0;300;6;306
2016;49 MAINE-ET-L;1154;19 292;17 295;0;1 009;988;260 958;160 318;454 189;0;36 573;11 423;8 306;17 667;11 277;15 308;0;976 019;18 957;994 976
2016;51 MARNE;12027;23 424;23 423;0;0;1;1 449 089;0;0;0;0;0;0;7;8;4;0;1 449 109;143 610;1 592 719
2016;52 MARNE(HAUTE);65;104;50;0;28;27;1 966;0;0;0;431;187;139;285;268;16;0;3 292;80;3 372
2016;53 MAYENNE;2;1;0;0;0;1;0;0;0;0;0;0;0;45;0;0;0;45;0;45
2016;54 MEURTHE-&-M;57;110;75;0;0;35;677;661;2 127;0;0;0;0;983;145;650;0;5 243;57;5 300
2016;55 MEUSE;7;39;0;0;32;7;0;0;0;0;928;462;395;390;13;0;0;2 187;66;2 254
2016;57 MOSELLE;37;98;72;0;0;26;884;515;101;0;0;0;0;913;57;71;0;2 541;8;2 549
2016;58 NIEVRE;257;1 520;1 391;0;100;29;53 712;485;357;0;543;274;115;134;112;76;0;55 809;16;55 825
2016;59 NORD;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;3;0;3
2016;60 OISE;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;9;0;9
2016;62 PAS-DE-CALAIS;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4
2016;63 PUY-DE-DOME;357;439;269;0;72;98;1 308;6 962;2 686;0;531;2 046;386;254;1 650;440;0;16 264;169;16 432
2016;64 PYRENEES-AT;632;2 493;2 306;0;50;136;63 391;35 259;6 827;0;465;1 949;305;920;2 190;567;0;111 872;4 754;116 627
2016;65 PYRENEES(HTE);164;462;274;0;99;90;1 284;8 465;168;0;221;853;144;53;496;97;0;11 780;622;12 403
2016;66 PYRENEES-OR;2619;25 721;15 551;0;9 357;813;82 920;177 738;90 243;0;66 676;168 061;60 727;5 544;6 429;2 601;0;660 940;14 236;675 176
2016;67 RHIN(BAS);1779;6 615;6 597;0;0;19;480 119;3 868;24 747;0;0;0;0;789;6;41;0;509 569;30 715;540 284
2016;68 RHIN (HAUT);2287;8 916;8 884;0;0;32;632 704;5 745;36 891;0;0;0;0;962;20;0;0;676 321;38 021;714 342
2016;69 RHONE;2509;16 704;16 264;0;137;303;101 234;652 947;20 280;4 261;1 781;5 335;553;3 531;15 342;4 401;0;809 665;42 480;852 145
2016;70 SAONE(HAUTE);88;1 243;0;0;222;1 021;0;0;0;0;781;707;154;274;257;1;0;2 174;0;2 174
2016;71 SAONE-ET-L;1882;12 864;12 773;0;14;77;511 974;195 372;3 520;20 704;128;121;7;1 972;836;484;0;735 117;22 190;757 308
2016;72 SARTHE;76;192;141;0;6;45;1 955;488;310;0;13;88;71;255;177;158;0;3 516;88;3 604
2016;73 SAVOIE;489;1 878;1 667;0;89;122;73 424;24 965;6 537;993;4 223;1 001;391;3 369;1 275;1 001;0;117 179;2 118;119 297
2016;74 SAVOIE(HTE);93;242;142;0;13;87;6 401;735;246;12;574;63;26;3 884;2 094;37;0;14 071;43;14 115
2016;77 SEINE ET MARNE;9;22;22;0;0;0;1 395;0;0;0;0;0;0;0;0;0;0;1 395;42;1 437
2016;79 SEVRES(DEUX);447;804;670;0;31;102;13 460;2 270;24 634;0;1 509;219;425;748;1 951;440;0;45 656;640;46 296
2016;81 TARN;598;6 547;3 118;0;2 384;1 045;49 352;96 662;16 290;0;52 624;139 467;26 886;28 574;51 318;14 950;0;476 121;9 603;485 724
2016;82 TARN-ET-G;345;1 497;742;0;472;283;0;30 639;11 408;0;2 399;21 821;15 800;381;18 393;3 600;0;104 441;2 611;107 052
2016;83 VAR;3448;27 934;21 890;0;5 679;364;41 172;79 881;927 021;731;25 831;58 169;261 628;2 806;5 282;13 960;0;1 416 480;53 108;1 469 587
2016;84 VAUCLUSE;3926;50 316;40 038;0;8 791;1 487;89 068;1 209 376;178 314;18 233;75 740;278 209;211 984;9 783;60 186;13 504;0;2 144 397;64 904;2 209 301
2016;85 VENDEE;868;977;480;0;254;243;4 970;6 278;6 323;0;3 270;3 058;4 300;1 253;1 798;3 614;0;34 865;736;35 601
2016;86 VIENNE;860;1 224;543;0;410;271;14 677;5 777;7 327;0;15 905;3 920;2 735;2 858;2 831;658;0;56 688;475;57 164
2016;87 VIENNE(HTE);3;7;0;0;6;1;0;0;0;0;2;20;64;4;4;0;0;94;10;104
2016;88 VOSGES;64;9;0;0;0;9;0;0;0;0;0;0;0;3;71;0;0;74;0;74
2016;89 YONNE;849;7 514;7 474;0;15;24;189 362;13 115;1 596;765;91;43;8;170;240;76;0;205 465;1 247;206 712
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
