"","departement.y","mean(s_vin_simple)","ratio_s","mean(s_total)","mean(q_blanc)","ratio_b","mean(q_rouge)","ratio_r","q_br","ratio_br","mean(q_total)","mean(prix_vin_blanc_sans_IG)","mean(prix_vin_rouge_sans_IG)"
"1","AIN",237.1,0.297155031958892,797.9,3947.8,0.0905759943100343,9215.1,0.211425818219362,13162.9,0.302001812529396,43585.5,NA,NA
"2","AISNE",5.6,0.00229385982877975,2441.3,4403,0.0233359427047751,25.1,0.000133030243445346,4428.1,0.0234689729482205,188678.9,NA,NA
"3","ALLIER",119.5,0.180595435998186,661.7,499.8,0.0212883770061676,2314,0.0985620335979828,2813.8,0.11985041060415,23477.6,NA,NA
"4","ALPES-DE-HAUTE-PROVENCE",182.8,0.259107016300496,705.5,351.8,0.00890263283092589,4521.5,0.11442084805296,4873.3,0.123323480883886,39516.4,NA,NA
"5","ALPES-MARITIMES",25.5,0.266457680250784,95.7,25.8,0.0108805668016194,244.2,0.102985829959514,270,0.113866396761134,2371.2,NA,NA
"6","ARDECHE",2876.7,0.272334825950715,10563.1,9909.5,0.018084708962931,16880.9,0.0308074235362372,26790.4,0.0488921324991683,547949.1,NA,NA
"7","ARDENNES",0.857142857142857,1,0.857142857142857,13.2857142857143,0.607843137254902,8.71428571428571,0.398692810457516,22,1.00653594771242,21.8571428571429,66.3367243514286,60.84528693
"8","ARIEGE",53.6,0.608399545970488,88.1,19.1,0.0109280238013503,329.9,0.188751573406568,349,0.199679597207919,1747.8,NA,NA
"9","AUBE",30.5,0.00433602024423878,7034.1,9683.9,0.0182260989365176,606,0.00114055452405845,10289.9,0.0193666534605761,531320.5,NA,NA
"10","AUDE",16678.6,0.254013073328825,65660.4,41666.3,0.0113261947233567,213762,0.0581071522178398,255428.3,0.0694333469411965,3678755.4,NA,NA
"11","AVEYRON",219.4,0.402494955054119,545.1,152.4,0.00993526432105768,3592.5,0.23420234300131,3744.9,0.244137607322368,15339.3,NA,NA
"12","BAS-RHIN",50.3,0.00755743197559986,6655.7,5681.2,0.0115883496413062,328.5,0.000670064925925699,6009.7,0.0122584145672319,490251,NA,NA
"13","BOUCHES-DU-RHONE",1239.1,0.120760564478403,10260.8,4155.5,0.00718498372118356,11021.3,0.0190561571619012,15176.8,0.0262411408830847,578359,NA,NA
"14","CALVADOS",1.1,0.239130434782609,4.6,12.9,0.0823229100191449,1.5,0.00957243139757498,14.4,0.0918953414167199,156.7,NA,NA
"15","CANTAL",3.6,0.36734693877551,9.8,3.6,0.0141010575793184,40.8,0.159811985898942,44.4,0.173913043478261,255.3,NA,NA
"16","CHARENTE",1169.8,0.0297727972634885,39290.9,72465.4,0.0174634265355187,40609.8,0.00978654998001953,113075.2,0.0272499765155382,4149552.2,NA,NA
"17","CHARENTE-MARITIME",2071.4,0.053049976694275,39046.2,216234.2,0.0495051413558051,54837.7,0.0125546656825203,271071.9,0.0620598070383254,4367914,NA,NA
"18","CHER",143.2,0.0345234938161479,4147.9,388.3,0.00171092467040576,1552.5,0.00684061434665193,1940.8,0.00855153901705769,226953.3,NA,NA
"19","CORREZE",120.6,0.714878482513337,168.7,16.4,0.00418645019655894,1921.4,0.490478378516363,1937.8,0.494664828712922,3917.4,NA,NA
"20","CORSE-DU-SUD",104.5,0.120697620697621,865.8,398.1,0.0117753542811,2938.9,0.0869293863268644,3337,0.0987047406079644,33807.9,NA,NA
"21","COTE-D'OR",80.4,0.00846244526776693,9500.8,1252.2,0.00311313725524319,1679.6,0.00417571101573748,2931.8,0.00728884827098067,402230.9,NA,NA
"22","COTES-D'ARMOR",0,NA,0,0,NA,0,NA,0,NA,0,58.808137092,55.732835378
"23","CREUSE",0.166666666666667,1,0.166666666666667,0.833333333333333,0.384615384615385,1.33333333333333,0.615384615384615,2.16666666666667,1,2.16666666666667,NA,NA
"24","DEUX-SEVRES",241.3,0.259044551798175,931.5,1072.8,0.021549178648476,6215,0.124839807326881,7287.8,0.146388985975357,49783.8,NA,NA
"25","DORDOGNE",773.9,0.0649315781083507,11918.7,6698.5,0.0127611209973735,19625.9,0.0373887414469437,26324.4,0.0501498624443171,524914.7,NA,NA
"26","DOUBS",27.7,0.769444444444444,36,300,0.328191663931736,293.9,0.321518433431791,593.9,0.649710097363527,914.1,NA,NA
"27","DROME",964.3,0.0588860323528154,16375.7,1321.2,0.00179493139740137,10972,0.0149061363096335,12293.2,0.0167010677070349,736072.7,NA,NA
"28","ESSONNE",0,NA,0,0,NA,0,NA,0,NA,0,58.808137092,55.732835378
"29","EURE",0,NA,0,0,NA,0,NA,0,NA,0,58.808137092,55.732835378
"30","EURE-ET-LOIR",0.666666666666667,1,0.666666666666667,2,0.257142857142857,5.77777777777778,0.742857142857143,7.77777777777778,1,7.77777777777778,68.8514944355556,63.0943043377778
"31","FINISTERE",0,NA,0,0,NA,0,NA,0,NA,0,58.808137092,55.732835378
"32","GARD",12462.7,0.233135043118768,53457,33441.3,0.0102911297910286,220817.9,0.0679538674956531,254259.2,0.0782449972866817,3249526.6,NA,NA
"33","GERS",6637,0.362250021832154,18321.6,336218.1,0.197923504505578,45287.5,0.0266596614230358,381505.6,0.224583165928614,1698727.5,NA,NA
"34","GIRONDE",2171.2,0.0188103200318819,115426,20398.2,0.00370699822900705,198426.1,0.0360602995013666,218824.3,0.0397672977303736,5502619.3,NA,NA
"35","HAUT-RHIN",1050.5,0.209869143941664,5005.5,9093.7,0.0278789131095916,7975,0.0244492705993152,17068.7,0.0523281837089068,326185.6,NA,NA
"36","HAUTE-CORSE",338.3,0.214127476422558,1579.9,274.8,0.00345578221026699,7045.6,0.0886028353007901,7320.4,0.0920586175110571,79518.9,NA,NA
"37","HAUTE-GARONNE",31.2,1,31.2,22.3,0.0443251838600676,481,0.956072351421189,503.3,1.00039753528126,503.1,NA,NA
