"annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu","qk_prod","ql_prod"
2012,"01","AIN",304,864,3489,9020,37703,57.90157163,57.78598753,942.23533,120792.2,107052.4
2012,"02","AISNE",7,2449,170,10,123781,57.90157163,57.78598753,942.23533,379615.1,303450.2
2012,"03","ALLIER",137,697,537,2548,23492,57.90157163,57.78598753,942.23533,36965.7,90015.4
2012,"04","ALPES-DE-HAUTE-PROVENCE",95,697,350,6421,40890,57.90157163,57.78598753,942.23533,68981,30656
2012,"05","HAUTE-MARNE",25,110,53,290,3417,57.90157163,57.78598753,942.23533,4415.8,125749.1
2012,"06","ALPES-MARITIMES",18,96,12,329,2403,57.90157163,57.78598753,942.23533,22650.2,6249.8
2012,"07","ARDECHE",608,10489,10293,14594,550751,57.90157163,57.78598753,942.23533,142657.1,30858.1
2012,"09","ARIEGE",152,200,0,325,2093,57.90157163,57.78598753,942.23533,8503.6,17411.9
2012,"10","AUBE",25,7018,204,574,404345,57.90157163,57.78598753,942.23533,683097.2,642478.1
2012,"11","AUDE",3695,64435,32598,174278,3533977,57.90157163,57.78598753,942.23533,1406180,375675.8
2012,"12","AVEYRON",310,622,188,4953,17387,57.90157163,57.78598753,942.23533,38764.4,45781
2012,"13","BOUCHES-DU-RHONE",276,10051,1779,11980,548726,57.90157163,57.78598753,942.23533,646659.9,128478.9
2012,"14","CALVADOS",0,3,0,0,104,57.90157163,57.78598753,942.23533,20782.2,40898.1
2012,"15","CANTAL",3,11,5,64,296,57.90157163,57.78598753,942.23533,1868.2,16795.4
2012,"16","CHARENTE",1035,39024,20456,35778,3739176,57.90157163,57.78598753,942.23533,1542720.4,458350.9
2012,"17","CHARENTE-MARITIME",1469,38785,68623,46133,3999281,57.90157163,57.78598753,942.23533,893264.6,427477.4
2012,"18","CHER",125,4085,403,1664,217078,57.90157163,57.78598753,942.23533,353973.9,260053
2012,"19","CORREZE",136,205,8,2824,4749,57.90157163,57.78598753,942.23533,87944.8,17923.3
2012,"21","COTE-D'OR",67,9484,552,1081,295199,57.90157163,57.78598753,942.23533,599501.8,426669.2
2012,"24","DORDOGNE",847,12086,3937,18182,542002,57.90157163,57.78598753,942.23533,298010.2,109205.5
2012,"25","DOUBS",17,36,201,254,690,57.90157163,57.78598753,942.23533,4745.2,35540.9
2012,"26","DROME",231,16262,566,6006,734766,57.90157163,57.78598753,942.23533,568493.4,133247.5
2012,"28","EURE-ET-LOIR",1,1,0,3,3,57.90157163,57.78598753,942.23533,122925.3,177271.2
2012,"2A","CORSE-DU-SUD",103,854,310,3488,31500,57.90157163,57.78598753,942.23533,38181.9,11760.2
2012,"2B","HAUT-RHIN",233,4952,11801,4988,312333,57.90157163,57.78598753,942.23533,383875.1,212348.9
2012,"30","GARD",3037,52666,41047,196850,3270564,57.90157163,57.78598753,942.23533,1490700.3,330375.5
2012,"31","HAUTE-CORSE",188,1642,154,6145,86057,57.90157163,57.78598753,942.23533,183578.5,56467.8
2012,"32","GERS",3216,18264,316535,55540,1703299,57.90157163,57.78598753,942.23533,1259488.4,266706.4
2012,"33","GIRONDE",2352,115348,12408,168344,5622317,57.90157163,57.78598753,942.23533,4122377.1,1172228
2012,"34","HERAULT",6580,80807,43883,362016,4792334,57.90157163,57.78598753,942.23533,2088113.7,622689.2
2012,"36","INDRE",292,669,747,3290,18876,57.90157163,57.78598753,942.23533,59159.2,219600.4
2012,"37","INDRE-ET-LOIRE",736,10012,4711,13026,380340,57.90157163,57.78598753,942.23533,979007.4,379653.1
2012,"38","ISERE",325,582,1814,7234,21479,57.90157163,57.78598753,942.23533,122906.3,52124.5
2012,"39","JURA",184,2192,2277,2024,74692,57.90157163,57.78598753,942.23533,67423,48527.2
2012,"40","LANDES",310,1798,15754,4359,121006,57.90157163,57.78598753,942.23533,132033.2,135841.6
2012,"41","LOIRET",1008,6905,6227,11903,209042,57.90157163,57.78598753,942.23533,90456.8,85446.6
2012,"42","LOIR-ET-CHER",220,1044,2130,5845,36966,57.90157163,57.78598753,942.23533,120339,115978.2
2012,"43","HAUTE-GARONNE",40,40,16,565,581,57.90157163,57.78598753,942.23533,266683.2,241767.9
2012,"44","LOIRE",1510,12318,24597,31405,376580,57.90157163,57.78598753,942.23533,47552.5,31133.8
2012,"45","LOIRE-ATLANTIQUE",21,225,78,394,4673,57.90157163,57.78598753,942.23533,515938.3,230680
2012,"46","LOT",753,5090,130,36942,247952,57.90157163,57.78598753,942.23533,132114.8,59884.1
2012,"47","LOT-ET-GARONNE",766,6208,19965,27552,360084,57.90157163,57.78598753,942.23533,829300,239941
2012,"48","LOZERE",5,5,0,41,303,57.90157163,57.78598753,942.23533,918.7,5368.6
2012,"49","MAINE-ET-LOIRE",1062,19520,12972,21129,845049,57.90157163,57.78598753,942.23533,749901.9,339967.8
2012,"51","MARNE",5,23499,61,35,1478365,57.90157163,57.78598753,942.23533,2030675,914705.9
2012,"52","HAUTE-LOIRE",26,101,218,373,4013,57.90157163,57.78598753,942.23533,1858.5,29057
2012,"53","MAYENNE",1,1,19,12,31,57.90157163,57.78598753,942.23533,13531.4,72723
2012,"54","MEURTHE-ET-MOSELLE",95,149,216,680,2382,57.90157163,57.78598753,942.23533,21352.4,102155.5
2012,"55","MEUSE",7,38,198,22,1023,57.90157163,57.78598753,942.23533,16149.2,155071.4
2012,"57","MOSELLE",35,57,75,164,742,57.90157163,57.78598753,942.23533,18643.7,140895.7
2012,"58","NIEVRE",74,1500,413,903,84107,57.90157163,57.78598753,942.23533,5579.2,9284.4
2012,"59","NORD",1,1,12,7,19,57.90157163,57.78598753,942.23533,190467.7,87419.1
2012,"60","OISE",0,0,0,0,0,57.90157163,57.78598753,942.23533,81111.6,205536.6
2012,"63","PUY-DE-DOME",224,565,229,5656,18841,57.90157163,57.78598753,942.23533,30181.4,55697.7
2012,"64","PYRENEES-ATLANTIQUES",143,2495,679,4336,107939,57.90157163,57.78598753,942.23533,191436.2,110847.7
2012,"65","HAUTE-VIENNE",124,364,205,2984,11336,57.90157163,57.78598753,942.23533,6241.7,19190.6
2012,"66","PYRENEES-ORIENTALES",842,23866,12163,20375,710081,57.90157163,57.78598753,942.23533,1357352.8,199210.4
2012,"67","BAS-RHIN",56,6628,2628,183,506830,57.90157163,57.78598753,942.23533,183259.5,87153.3
2012,"68","HAUTES-PYRENEES",24,8954,1355,116,663088,57.90157163,57.78598753,942.23533,32059.1,25393
2012,"69","RHONE",313,17515,1758,5640,570831,57.90157163,57.78598753,942.23533,511421.2,178813.9
2012,"70","HAUTE-SAONE",36,117,197,409,2246,57.90157163,57.78598753,942.23533,14768.5,85267.2
2012,"71","SAONE-ET-LOIRE",111,12953,1523,1541,613693,57.90157163,57.78598753,942.23533,427529.4,250186.6
2012,"72","SARTHE",105,252,375,799,4375,57.90157163,57.78598753,942.23533,154762.2,117613.5
2012,"73","SAVOIE",155,1968,2380,3290,111299,57.90157163,57.78598753,942.23533,127756.6,25726.4
2012,"74","HAUTE-SAVOIE",130,279,5653,2764,14442,57.90157163,57.78598753,942.23533,33568.9,8741.1
2012,"77","SEINE-ET-MARNE",0,22,0,0,1292,57.90157163,57.78598753,942.23533,32705,69914.8
2012,"79","DEUX-SEVRES",290,1021,689,7262,45444,57.90157163,57.78598753,942.23533,622248,219353
2012,"81","TARN",1125,6664,26786,52300,417492,57.90157163,57.78598753,942.23533,221535.9,116943.8
2012,"82","TARN-ET-GARONNE",458,1631,495,17858,87579,57.90157163,57.78598753,942.23533,444399.4,123993.1
2012,"83","VAUCLUSE",466,28161,1382,20072,1268604,57.90157163,57.78598753,942.23533,2388920.3,429266.4
2012,"84","VENDEE",1693,46890,20226,50375,1955689,57.90157163,57.78598753,942.23533,68246.1,121590
2012,"85","VAR",692,1457,2539,18389,45866,57.90157163,57.78598753,942.23533,981030,145844.9
2012,"86","VIENNE",587,1614,1293,9619,58962,57.90157163,57.78598753,942.23533,74862.2,204967.9
2012,"87","HAUTES-ALPES",2,7,0,22,280,57.90157163,57.78598753,942.23533,32691.7,10990.4
2012,"88","VOSGES",81,81,18,405,423,57.90157163,57.78598753,942.23533,4726.2,25378
2012,"89","YONNE",61,7150,472,1238,381125,57.90157163,57.78598753,942.23533,300285.1,252618.6
2013,"01","AIN",242,803,3857,8692,38559,73.9380974,64.65650726,917.7323532,442356.9,247136.8
2013,"02","AISNE",7,2474,423,17,219627,73.9380974,64.65650726,917.7323532,619491.9,344195.2
2013,"03","ALLIER",125,685,436,2094,20032,73.9380974,64.65650726,917.7323532,40736.6,95977.1
2013,"04","ALPES-DE-HAUTE-PROVENCE",106,711,424,4353,36266,73.9380974,64.65650726,917.7323532,99854,47148.3
2013,"05","HAUTE-MARNE",41,144,62,340,5455,73.9380974,64.65650726,917.7323532,3354.7,102303.9
2013,"06","ALPES-MARITIMES",44,125,14,223,1879,73.9380974,64.65650726,917.7323532,22418.1,10272.9
2013,"07","ARDECHE",617,10405,12905,10617,517896,73.9380974,64.65650726,917.7323532,168072.3,35493.8
2013,"09","ARIEGE",139,161,78,476,1251,73.9380974,64.65650726,917.7323532,7055.5,26116.7
2013,"10","AUBE",23,7088,272,617,554229,73.9380974,64.65650726,917.7323532,836981.2,636220.3
2013,"11","AUDE",5277,65614,73258,302029,3892421,73.9380974,64.65650726,917.7323532,1641172.5,795361.2
2013,"12","AVEYRON",240,556,153,3741,13423,73.9380974,64.65650726,917.7323532,53085.6,73447
2013,"13","BOUCHES-DU-RHONE",252,10001,4366,6140,507832,73.9380974,64.65650726,917.7323532,414238.1,116059.6
2013,"14","CALVADOS",1,6,1,0,168,73.9380974,64.65650726,917.7323532,21787.3,44202
2013,"15","CANTAL",3,11,0,55,219,73.9380974,64.65650726,917.7323532,1925.5,17221
2013,"16","CHARENTE",840,39058,6217,22262,3907256,73.9380974,64.65650726,917.7323532,1931370.1,630428.9
2013,"17","CHARENTE-MARITIME",1232,38705,22809,24177,3979850,73.9380974,64.65650726,917.7323532,1050762.7,515985.2
2013,"18","CHER",105,4114,527,1834,229513,73.9380974,64.65650726,917.7323532,367307.8,93038.4
2013,"19","CORREZE",117,179,35,1545,3530,73.9380974,64.65650726,917.7323532,96633.8,21743.2
2013,"21","COTE-D'OR",77,9407,366,879,356391,73.9380974,64.65650726,917.7323532,637075.6,433448.5
2013,"24","DORDOGNE",735,11899,4552,9717,389812,73.9380974,64.65650726,917.7323532,344731,126351.8
2013,"25","DOUBS",19,36,191,224,768,73.9380974,64.65650726,917.7323532,6072.1,53161.2
2013,"26","DROME",480,16263,503,4715,627229,73.9380974,64.65650726,917.7323532,783787.4,157868.1
2013,"28","EURE-ET-LOIR",1,1,0,9,9,73.9380974,64.65650726,917.7323532,87425.5,170272.6
2013,"2A","CORSE-DU-SUD",89,845,350,3397,34585,73.9380974,64.65650726,917.7323532,44811.6,15472.2
2013,"2B","HAUT-RHIN",279,4978,10117,9634,347660,73.9380974,64.65650726,917.7323532,398450.4,219758.6
2013,"30","GARD",2886,53011,27147,182591,3197642,73.9380974,64.65650726,917.7323532,2191564.1,462626
2013,"31","HAUTE-CORSE",180,1596,194,3637,56950,73.9380974,64.65650726,917.7323532,198535.7,65340.8
2013,"32","GERS",1881,18278,124568,17902,1283269,73.9380974,64.65650726,917.7323532,1251186.3,326078.9
2013,"33","GIRONDE",1585,115416,8884,36135,3964661,73.9380974,64.65650726,917.7323532,4996688.4,1536180.8
2013,"34","HERAULT",8400,80918,148947,679217,5716091,73.9380974,64.65650726,917.7323532,2213466.9,817616.9
2013,"36","INDRE",188,557,1470,4877,27399,73.9380974,64.65650726,917.7323532,80474.2,299838.2
2013,"37","INDRE-ET-LOIRE",627,9937,10699,18920,418541,73.9380974,64.65650726,917.7323532,517324.8,437901.7
2013,"38","ISERE",309,610,1414,3909,15905,73.9380974,64.65650726,917.7323532,157289.3,46394.3
2013,"39","JURA",168,2105,1907,1580,58288,73.9380974,64.65650726,917.7323532,88338.4,58237.6
2013,"40","LANDES",238,1671,6394,2415,90718,73.9380974,64.65650726,917.7323532,178693.8,152478.6
2013,"41","LOIRET",743,6552,11237,22300,345089,73.9380974,64.65650726,917.7323532,87337.8,89540.7
2013,"42","LOIR-ET-CHER",169,924,1098,3414,28306,73.9380974,64.65650726,917.7323532,523674.8,160757.1
2013,"43","HAUTE-GARONNE",37,37,29,486,515,73.9380974,64.65650726,917.7323532,92119.7,113524.5
2013,"44","LOIRE",1319,11967,40556,44821,642999,73.9380974,64.65650726,917.7323532,55465.3,32277.1
2013,"45","LOIRE-ATLANTIQUE",23,203,109,602,5771,73.9380974,64.65650726,917.7323532,576023.7,272352.4
2013,"46","LOT",611,5055,130,12051,146451,73.9380974,64.65650726,917.7323532,245181.4,75099.1
2013,"47","LOT-ET-GARONNE",612,6241,6287,14099,279431,73.9380974,64.65650726,917.7323532,1157820.2,317626.8
2013,"48","LOZERE",2,11,21,221,461,73.9380974,64.65650726,917.7323532,1017,6336.5
