"","annee","ndep","q_prod","cond"
"1",2008,"01",369,"L"
"2",2008,"01",320,"L"
"3",2008,"01",320,"L"
"4",2008,"01",1108.9,"K"
"5",2008,"01",207,"L"
"6",2008,"01",207,"L"
"7",2008,"01",264,"K"
"8",2008,"01",34.1,"L"
"9",2008,"01",65,"L"
"10",2008,"01",460,"L"
"11",2008,"01",56,"K"
"12",2008,"01",900,"K"
"13",2008,"01",1945,"L"
"14",2008,"01",1945,"L"
"15",2008,"01",161.5,"K"
"16",2008,"01",350,"L"
"17",2008,"01",323.8,"K"
"18",2008,"01",190.8,"L"
"19",2008,"01",190.8,"L"
"20",2008,"01",160,"L"
"21",2008,"01",73.5,"K"
"22",2008,"01",58,"L"
"23",2008,"01",1.5,"L"
"24",2008,"01",35,"K"
"25",2008,"01",55,"K"
"26",2008,"01",118.7,"K"
"27",2008,"01",13.6,"K"
"28",2008,"01",200,"L"
"29",2008,"01",360,"K"
"30",2008,"01",360,"K"
"31",2008,"01",25,"K"
"32",2008,"01",30,"L"
"33",2008,"01",30,"L"
"34",2008,"01",1,"L"
"35",2008,"01",136,"L"
"36",2008,"01",27.6,"K"
"37",2008,"01",994,"L"
"38",2008,"01",2284,"L"
"39",2008,"01",460,"K"
"40",2008,"01",570,"L"
"41",2008,"01",36,"L"
"42",2008,"01",822,"L"
"43",2008,"01",3773,"L"
"44",2008,"01",127,"L"
"45",2008,"01",1060,"L"
"46",2008,"01",415,"L"
"47",2008,"01",0,"K"
"48",2008,"01",762.5,"L"
"49",2008,"01",80,"L"
"50",2008,"01",1885,"K"
"51",2008,"01",20,"L"
"52",2008,"01",17.6,"K"
"53",2008,"01",24,"L"
"54",2008,"01",574,"L"
"55",2008,"01",10,"L"
"56",2008,"01",308.5,"K"
"57",2008,"01",89,"L"
"58",2008,"01",73,"K"
"59",2008,"01",60,"K"
"60",2008,"01",60,"K"
"61",2008,"01",160,"L"
"62",2008,"01",160,"L"
"63",2008,"01",54.2,"K"
"64",2008,"01",35.2,"K"
"65",2008,"01",35.2,"K"
"66",2008,"01",5,"L"
"67",2008,"01",1062.6,"K"
"68",2008,"01",151.2,"K"
"69",2008,"01",4.2,"L"
"70",2008,"01",2,"L"
"71",2008,"01",501.6,"K"
"72",2008,"01",112,"K"
"73",2008,"01",384,"K"
"74",2008,"01",384,"K"
"75",2008,"01",29484,"K"
"76",2008,"01",1,"L"
"77",2008,"01",1300,"K"
"78",2008,"01",130,"L"
"79",2008,"01",130,"L"
"80",2008,"01",248,"K"
"81",2008,"01",15.8,"K"
"82",2008,"01",0.8,"K"
"83",2008,"01",0.8,"K"
"84",2008,"01",540,"K"
"85",2008,"01",540,"K"
"86",2008,"01",4.5,"K"
"87",2008,"01",3880,"K"
"88",2008,"01",3880,"K"
"89",2008,"01",89.4,"K"
"90",2008,"01",441.8,"K"
"91",2008,"01",240,"L"
"92",2008,"01",8127,"K"
"93",2008,"01",8127,"K"
"94",2008,"01",404.3,"K"
"95",2008,"01",870,"K"
"96",2008,"01",739.9,"L"
"97",2008,"01",597,"L"
"98",2008,"01",1050,"K"
"99",2008,"01",16,"L"
"100",2008,"01",35.8,"K"
"101",2008,"01",290,"L"
"102",2008,"01",160,"K"
"103",2008,"01",603.6,"K"
"104",2008,"01",16.7,"L"
"105",2008,"02",9705,"K"
"106",2008,"02",8792,"L"
"107",2008,"02",445,"L"
"108",2008,"02",445,"L"
"109",2008,"02",1628.4,"K"
"110",2008,"02",11005,"L"
"111",2008,"02",558,"L"
"112",2008,"02",3130,"L"
"113",2008,"02",3130,"L"
"114",2008,"02",1638,"K"
"115",2008,"02",32175,"K"
"116",2008,"02",32175,"K"
"117",2008,"02",9.6,"L"
"118",2008,"02",2481,"L"
"119",2008,"02",2192,"K"
"120",2008,"02",1870,"K"
"121",2008,"02",20660,"L"
"122",2008,"02",20660,"L"
"123",2008,"02",2976,"K"
"124",2008,"02",70,"L"
"125",2008,"02",428.5,"K"
"126",2008,"02",65,"K"
"127",2008,"02",65,"K"
"128",2008,"02",10,"L"
"129",2008,"02",1200,"K"
"130",2008,"02",1200,"K"
"131",2008,"02",21720,"K"
"132",2008,"02",653.1,"K"
"133",2008,"02",1075,"L"
"134",2008,"02",400,"K"
"135",2008,"02",400,"K"
"136",2008,"02",0.4,"L"
"137",2008,"02",259.1,"L"
"138",2008,"02",259.1,"L"
"139",2008,"02",3,"K"
"140",2008,"02",4013,"L"
"141",2008,"02",97.5,"K"
"142",2008,"02",19525,"K"
"143",2008,"02",19525,"K"
"144",2008,"02",1240,"K"
"145",2008,"02",61.2,"K"
"146",2008,"02",30.4,"L"
"147",2008,"02",2.3,"L"
"148",2008,"02",5.6,"K"
"149",2008,"02",300,"K"
"150",2008,"02",212,"K"
"151",2008,"02",310,"K"
"152",2008,"02",20,"K"
"153",2008,"02",80,"L"
"154",2008,"02",5230,"L"
"155",2008,"02",120,"K"
"156",2008,"02",120,"K"
"157",2008,"02",2460,"L"
"158",2008,"02",2460,"L"
"159",2008,"02",213,"L"
"160",2008,"02",3770,"L"
"161",2008,"02",435,"L"
"162",2008,"02",1225.5,"K"
"163",2008,"02",1879,"L"
"164",2008,"02",4836,"L"
"165",2008,"02",720,"L"
"166",2008,"02",720,"L"
"167",2008,"02",480,"L"
"168",2008,"02",480,"L"
"169",2008,"02",380,"K"
"170",2008,"02",75,"K"
"171",2008,"02",1780,"K"
"172",2008,"02",710,"L"
"173",2008,"02",4190,"L"
"174",2008,"02",228.5,"L"
"175",2008,"02",4145,"L"
"176",2008,"02",280,"K"
"177",2008,"02",6864,"L"
"178",2008,"02",885,"L"
"179",2008,"02",7.2,"K"
"180",2008,"02",345,"L"
"181",2008,"02",864,"L"
"182",2008,"02",950,"K"
"183",2008,"02",1840,"L"
"184",2008,"02",33.6,"K"
"185",2008,"02",41,"L"
"186",2008,"02",10,"K"
"187",2008,"02",10,"K"
"188",2008,"02",531,"L"
"189",2008,"02",10,"L"
"190",2008,"02",10,"L"
"191",2008,"02",3137,"L"
"192",2008,"02",448.9,"K"
"193",2008,"02",174,"L"
"194",2008,"02",941.4,"K"
"195",2008,"02",2.5,"K"
"196",2008,"02",8220,"K"
"197",2008,"02",8220,"K"
"198",2008,"02",980,"L"
"199",2008,"02",980,"L"
"200",2008,"02",154,"L"
"201",2008,"02",146.4,"K"
"202",2008,"02",31.2,"K"
"203",2008,"02",31.2,"K"
"204",2008,"02",90,"L"
"205",2008,"02",216,"L"
"206",2008,"02",1584.8,"K"
"207",2008,"02",116.2,"K"
"208",2008,"02",400,"K"
"209",2008,"02",5.1,"L"
"210",2008,"02",2,"L"
"211",2008,"02",2267.2,"K"
"212",2008,"02",2826,"K"
"213",2008,"02",7255,"K"
"214",2008,"02",7255,"K"
"215",2008,"02",56772,"K"
"216",2008,"02",10.8,"L"
"217",2008,"02",36440,"K"
"218",2008,"02",1045,"L"
"219",2008,"02",1045,"L"
"220",2008,"02",83205,"L"
"221",2008,"02",1344,"K"
"222",2008,"02",70.2,"K"
"223",2008,"02",1492,"K"
"224",2008,"02",1492,"K"
"225",2008,"02",1170,"K"
"226",2008,"02",1170,"K"
"227",2008,"02",48,"K"
"228",2008,"02",0.5,"K"
"229",2008,"02",175,"K"
"230",2008,"02",380.4,"K"
"231",2008,"02",392.6,"K"
"232",2008,"02",120,"L"
"233",2008,"02",3952,"K"
"234",2008,"02",1160,"K"
"235",2008,"02",1160,"K"
"236",2008,"02",20628,"K"
"237",2008,"02",20628,"K"
"238",2008,"02",882.4,"K"
"239",2008,"02",124785,"K"
"240",2008,"02",2913.3,"L"
"241",2008,"02",27300,"K"
"242",2008,"02",750,"L"
"243",2008,"02",960,"K"
"244",2008,"02",2,"L"
"245",2008,"02",45.6,"K"
"246",2008,"02",1912.2,"L"
"247",2008,"02",93.8,"K"
"248",2008,"02",11240,"K"
"249",2008,"02",18025,"K"
"250",2008,"02",543.2,"K"
"251",2008,"02",41.6,"L"
"252",2008,"03",102.5,"K"
"253",2008,"03",381,"L"
"254",2008,"03",1825,"L"
"255",2008,"03",1825,"L"
"256",2008,"03",1584.8,"K"
"257",2008,"03",1980,"L"
"258",2008,"03",13,"L"
"259",2008,"03",13,"L"
"260",2008,"03",1608,"K"
"261",2008,"03",24.7,"L"
"262",2008,"03",2195,"L"
"263",2008,"03",36,"K"
"264",2008,"03",5201,"L"
"265",2008,"03",5201,"L"
"266",2008,"03",9,"K"
"267",2008,"03",237.4,"K"
"268",2008,"03",201.7,"K"
"269",2008,"03",195.9,"L"
"270",2008,"03",195.9,"L"
"271",2008,"03",243.7,"K"
"272",2008,"03",2390,"K"
"273",2008,"03",44,"L"
"274",2008,"03",0.5,"L"
"275",2008,"03",2.5,"K"
"276",2008,"03",584,"K"
"277",2008,"03",1741,"K"
"278",2008,"03",231.8,"K"
"279",2008,"03",620,"K"
"280",2008,"03",65,"K"
"281",2008,"03",1930,"L"
"282",2008,"03",2.4,"K"
"283",2008,"03",3162,"L"
"284",2008,"03",5456,"L"
"285",2008,"03",80,"K"
"286",2008,"03",65.5,"L"
"287",2008,"03",708,"L"
"288",2008,"03",930,"K"
"289",2008,"03",3447,"L"
"290",2008,"03",448,"L"
"291",2008,"03",1220,"L"
"292",2008,"03",3.1,"K"
"293",2008,"03",20,"L"
"294",2008,"03",3,"L"
"295",2008,"03",540,"K"
"296",2008,"03",205,"K"
"297",2008,"03",660,"L"
"298",2008,"03",5.2,"K"
"299",2008,"03",446,"L"
"300",2008,"03",12,"L"
"301",2008,"03",12,"L"
"302",2008,"03",242,"L"
"303",2008,"03",303.1,"K"
"304",2008,"03",1,"L"
"305",2008,"03",44,"K"
"306",2008,"03",0.5,"K"
"307",2008,"03",37,"L"
"308",2008,"03",322.2,"K"
"309",2008,"03",13.7,"K"
"310",2008,"03",13.7,"K"
"311",2008,"03",1738.1,"K"
"312",2008,"03",481.3,"K"
"313",2008,"03",0.6,"L"
"314",2008,"03",3345.2,"K"
"315",2008,"03",356,"K"
"316",2008,"03",48,"K"
"317",2008,"03",48,"K"
"318",2008,"03",11214,"K"
"319",2008,"03",1,"L"
"320",2008,"03",360,"K"
"321",2008,"03",545,"L"
"322",2008,"03",545,"L"
"323",2008,"03",2140,"L"
"324",2008,"03",16,"K"
"325",2008,"03",3.2,"K"
"326",2008,"03",3.2,"K"
"327",2008,"03",0.2,"K"
"328",2008,"03",10.2,"K"
"329",2008,"03",11.2,"K"
"330",2008,"03",251,"K"
"331",2008,"03",410,"K"
"332",2008,"03",21.5,"K"
"333",2008,"03",266.6,"K"
"334",2008,"03",2000,"K"
"335",2008,"03",602,"L"
"336",2008,"03",27.3,"L"
"337",2008,"03",40,"K"
"338",2008,"03",4030,"K"
"339",2008,"03",3533.2,"K"
"340",2008,"03",21.5,"L"
"341",2008,"04",160,"K"
"342",2008,"04",1006,"L"
"343",2008,"04",324.1,"K"
"344",2008,"04",6,"L"
"345",2008,"04",65,"L"
"346",2008,"04",65,"L"
"347",2008,"04",87,"L"
"348",2008,"04",1521,"L"
"349",2008,"04",2342,"K"
"350",2008,"04",2570,"K"
"351",2008,"04",111,"L"
"352",2008,"04",87,"K"
"353",2008,"04",11,"K"
"354",2008,"04",12,"K"
"355",2008,"04",4,"K"
"356",2008,"04",82.2,"L"
"357",2008,"04",82.2,"L"
"358",2008,"04",30,"L"
"359",2008,"04",267,"K"
"360",2008,"04",3375,"K"
"361",2008,"04",3375,"K"
"362",2008,"04",248,"L"
"363",2008,"04",21.5,"L"
"364",2008,"04",11360,"K"
"365",2008,"04",232.8,"K"
"366",2008,"04",285,"K"
"367",2008,"04",970,"K"
"368",2008,"04",970,"K"
"369",2008,"04",140,"L"
"370",2008,"04",151.2,"K"
"371",2008,"04",376,"L"
"372",2008,"04",755,"L"
"373",2008,"04",100,"K"
"374",2008,"04",2340,"K"
"375",2008,"04",10280,"L"
"376",2008,"04",1007,"L"
"377",2008,"04",736,"L"
"378",2008,"04",860,"K"
"379",2008,"04",1914,"L"
"380",2008,"04",3152,"L"
"381",2008,"04",164,"K"
"382",2008,"04",380,"L"
"383",2008,"04",1152,"L"
"384",2008,"04",76.6,"K"
"385",2008,"04",113,"L"
"386",2008,"04",26,"L"
"387",2008,"04",60,"L"
"388",2008,"04",60,"L"
"389",2008,"04",44,"K"
"390",2008,"04",173,"L"
"391",2008,"04",55,"K"
"392",2008,"04",980,"L"
"393",2008,"04",980,"L"
"394",2008,"04",2000,"L"
"395",2008,"04",32,"L"
"396",2008,"04",92.8,"K"
"397",2008,"04",0.7,"K"
"398",2008,"04",0.7,"K"
"399",2008,"04",250,"L"
"400",2008,"04",199.6,"K"
"401",2008,"04",65,"K"
"402",2008,"04",0.4,"L"
"403",2008,"04",51,"L"
"404",2008,"04",10064.2,"K"
"405",2008,"04",273.6,"K"
"406",2008,"04",2184,"K"
"407",2008,"04",2184,"K"
"408",2008,"04",690,"L"
"409",2008,"04",3092,"K"
"410",2008,"04",3250,"K"
"411",2008,"04",0.2,"K"
"412",2008,"04",480,"K"
"413",2008,"04",480,"K"
"414",2008,"04",1824,"K"
"415",2008,"04",10.5,"K"
"416",2008,"04",22.8,"K"
"417",2008,"04",48,"L"
"418",2008,"04",48,"K"
"419",2008,"04",1.9,"K"
"420",2008,"04",0.6,"K"
"421",2008,"04",4685,"K"
"422",2008,"04",529.8,"L"
"423",2008,"04",2775,"K"
"424",2008,"04",41,"L"
"425",2008,"04",128.1,"L"
"426",2008,"04",186,"K"
"427",2008,"04",11860,"K"
"428",2008,"04",850,"K"
"429",2008,"04",4.6,"L"
"430",2008,"06",6,"L"
"431",2008,"06",1186.3,"K"
"432",2008,"06",18.9,"L"
"433",2008,"06",647.7,"L"
"434",2008,"06",398,"K"
"435",2008,"06",179.8,"K"
"436",2008,"06",59.9,"K"
"437",2008,"06",1001.2,"L"
"438",2008,"06",1001.2,"L"
"439",2008,"06",1.5,"K"
"440",2008,"06",374,"K"
"441",2008,"06",19.5,"L"
"442",2008,"06",61.1,"K"
"443",2008,"06",595,"K"
"444",2008,"06",29.7,"K"
"445",2008,"06",25,"K"
"446",2008,"06",3,"L"
