"","annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu"
"1",2009,"01","AIN",264,826,3728,11071,46464,60.18311254,45.05833306,948.5071398
"2",2009,"02","AISNE",3,2365,10663,156,190429,60.18311254,45.05833306,948.5071398
"3",2009,"03","ALLIER",166,583,300,3801,19029,60.18311254,45.05833306,948.5071398
"4",2009,"04","ALPES-DE-HAUTE-PROVENCE",454,736,223,4724,40309,60.18311254,45.05833306,948.5071398
"5",2009,"05","HAUTE-MARNE",132,132,80,765,4678,60.18311254,45.05833306,948.5071398
"6",2009,"06","ALPES-MARITIMES",56,99,20,499,2184,60.18311254,45.05833306,948.5071398
"7",2009,"07","ARDECHE",8262,11159,1184,21055,510949,60.18311254,45.05833306,948.5071398
"8",2009,"08","ARDENNES",1,1,15,14,29,60.18311254,45.05833306,948.5071398
"9",2009,"09","ARIEGE",19,19,1,507,508,60.18311254,45.05833306,948.5071398
"10",2009,"10","AUBE",33,6923,51340,1113,565951,60.18311254,45.05833306,948.5071398
"11",2009,"11","AUDE",48042,68990,14289,163952,3621700,60.18311254,45.05833306,948.5071398
"12",2009,"12","AVEYRON",367,659,249,7131,20548,60.18311254,45.05833306,948.5071398
"13",2009,"13","BOUCHES-DU-RHONE",3581,10169,1242,11433,494711,60.18311254,45.05833306,948.5071398
"14",2009,"14","CALVADOS",3,3,7,0,152,60.18311254,45.05833306,948.5071398
"15",2009,"15","CANTAL",9,11,6,83,349,60.18311254,45.05833306,948.5071398
"16",2009,"16","CHARENTE",2421,39077,299431,80868,4071127,60.18311254,45.05833306,948.5071398
"17",2009,"17","CHARENTE-MARITIME",5406,39060,985816,117529,4585471,60.18311254,45.05833306,948.5071398
"18",2009,"18","CHER",153,3853,156,2019,166589,60.18311254,45.05833306,948.5071398
"19",2009,"19","CORREZE",246,246,15,3783,6136,60.18311254,45.05833306,948.5071398
"20",2009,"2A","CORSE-DU-SUD",130,861,231,2077,30362,60.18311254,45.05833306,948.5071398
"21",2009,"2B","HAUT-RHIN",2996,5305,4993,3938,291865,60.18311254,45.05833306,948.5071398
"22",2009,"21","COTE-D'OR",119,9478,3495,5141,488172,60.18311254,45.05833306,948.5071398
"23",2009,"22","COTES-D'ARMOR",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"24",2009,"23","CREUSE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"25",2009,"24","DORDOGNE",1119,13060,5135,30048,605926,60.18311254,45.05833306,948.5071398
"26",2009,"25","DOUBS",32,32,292,373,948,60.18311254,45.05833306,948.5071398
"27",2009,"26","DROME",2650,17822,1724,20445,742325,60.18311254,45.05833306,948.5071398
"28",2009,"27","EURE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"29",2009,"28","EURE-ET-LOIR",1,1,3,12,15,60.18311254,45.05833306,948.5071398
"30",2009,"29","FINISTERE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"31",2009,"30","GARD",36939,58110,28280,230082,3186183,60.18311254,45.05833306,948.5071398
"32",2009,"31","HAUTE-CORSE",820,1829,275,13217,94327,60.18311254,45.05833306,948.5071398
"33",2009,"32","GERS",14781,18454,237709,34281,1735698,60.18311254,45.05833306,948.5071398
"34",2009,"33","GIRONDE",1441,119477,19531,263118,6069096,60.18311254,45.05833306,948.5071398
"35",2009,"34","HERAULT",66732,82402,30474,410878,4573307,60.18311254,45.05833306,948.5071398
"36",2009,"35","ILLE-ET-VILAINE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"37",2009,"36","INDRE",400,651,1205,6592,30197,60.18311254,45.05833306,948.5071398
"38",2009,"37","INDRE-ET-LOIRE",866,10006,18143,27903,551866,60.18311254,45.05833306,948.5071398
"39",2009,"38","ISERE",349,507,2399,7572,23919,60.18311254,45.05833306,948.5071398
"40",2009,"39","JURA",182,2115,3325,3101,82760,60.18311254,45.05833306,948.5071398
"41",2009,"40","LANDES",1006,1807,19882,3127,135118,60.18311254,45.05833306,948.5071398
"42",2009,"41","LOIRET",2061,6986,12360,29253,407828,60.18311254,45.05833306,948.5071398
"43",2009,"42","LOIR-ET-CHER",360,985,1080,4706,35568,60.18311254,45.05833306,948.5071398
"44",2009,"43","HAUTE-GARONNE",50,50,23,984,1007,60.18311254,45.05833306,948.5071398
"45",2009,"44","LOIRE",2818,14442,43948,33949,901398,60.18311254,45.05833306,948.5071398
"46",2009,"45","LOIRE-ATLANTIQUE",86,261,338,1067,9316,60.18311254,45.05833306,948.5071398
"47",2009,"46","LOT",1665,5527,208,31403,270283,60.18311254,45.05833306,948.5071398
"48",2009,"47","LOT-ET-GARONNE",1617,6722,17832,45311,405868,60.18311254,45.05833306,948.5071398
"49",2009,"48","LOZERE",13,13,2,64,244,60.18311254,45.05833306,948.5071398
"50",2009,"49","MAINE-ET-LOIRE",1944,19652,13465,31653,1131405,60.18311254,45.05833306,948.5071398
"51",2009,"50","MANCHE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"52",2009,"51","MARNE",3,23778,182643,89,2074855,60.18311254,45.05833306,948.5071398
"53",2009,"52","HAUTE-LOIRE",73,106,504,1026,4037,60.18311254,45.05833306,948.5071398
"54",2009,"53","MAYENNE",2,2,16,20,57,60.18311254,45.05833306,948.5071398
"55",2009,"54","MEURTHE-ET-MOSELLE",50,113,277,1438,4421,60.18311254,45.05833306,948.5071398
"56",2009,"55","MEUSE",39,39,170,112,1748,60.18311254,45.05833306,948.5071398
"57",2009,"56","MORBIHAN",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"58",2009,"57","MOSELLE",14,21,140,375,722,60.18311254,45.05833306,948.5071398
"59",2009,"58","NIEVRE",188,1510,452,1383,65609,60.18311254,45.05833306,948.5071398
"60",2009,"59","NORD",1,1,6,0,6,60.18311254,45.05833306,948.5071398
"61",2009,"60","OISE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"62",2009,"61","ORNE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"63",2009,"62","PAS-DE-CALAIS",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"64",2009,"63","PUY-DE-DOME",341,598,385,8127,23029,60.18311254,45.05833306,948.5071398
"65",2009,"64","PYRENEES-ATLANTIQUES",197,2470,667,3864,91885,60.18311254,45.05833306,948.5071398
"66",2009,"65","HAUTE-VIENNE",206,426,270,3649,16402,60.18311254,45.05833306,948.5071398
"67",2009,"66","PYRENEES-ORIENTALES",6853,26627,4401,24424,754416,60.18311254,45.05833306,948.5071398
"68",2009,"67","BAS-RHIN",78,6888,20541,948,545950,60.18311254,45.05833306,948.5071398
"69",2009,"68","HAUTES-PYRENEES",30,9043,25430,1243,693877,60.18311254,45.05833306,948.5071398
"70",2009,"69","RHONE",274,18461,2671,19512,857172,60.18311254,45.05833306,948.5071398
"71",2009,"70","HAUTE-SAONE",121,121,347,980,5158,60.18311254,45.05833306,948.5071398
"72",2009,"71","SAONE-ET-LOIRE",127,12998,17497,6285,779592,60.18311254,45.05833306,948.5071398
"73",2009,"72","SARTHE",104,250,991,2648,9843,60.18311254,45.05833306,948.5071398
"74",2009,"73","SAVOIE",231,1988,4846,6261,120571,60.18311254,45.05833306,948.5071398
"75",2009,"74","HAUTE-SAVOIE",116,257,4895,2029,14637,60.18311254,45.05833306,948.5071398
"76",2009,"75","PARIS",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"77",2009,"76","SEINE-MARITIME",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"78",2009,"77","SEINE-ET-MARNE",0,21,62,0,1513,60.18311254,45.05833306,948.5071398
"79",2009,"78","YVELINES",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"80",2009,"79","DEUX-SEVRES",345,1009,1290,11380,56011,60.18311254,45.05833306,948.5071398
"81",2009,"80","SOMME",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"82",2009,"81","TARN",3565,7162,8971,36623,391496,60.18311254,45.05833306,948.5071398
"83",2009,"82","TARN-ET-GARONNE",1012,1848,538,20911,96475,60.18311254,45.05833306,948.5071398
"84",2009,"83","VAUCLUSE",7051,29413,4511,28953,1371811,60.18311254,45.05833306,948.5071398
"85",2009,"84","VENDEE",11078,49913,29897,80391,2010361,60.18311254,45.05833306,948.5071398
"86",2009,"85","VAR",1078,1618,4245,28971,80000,60.18311254,45.05833306,948.5071398
"87",2009,"86","VIENNE",1107,1816,5829,14949,91854,60.18311254,45.05833306,948.5071398
"88",2009,"87","HAUTES-ALPES",6,6,0,36,174,60.18311254,45.05833306,948.5071398
"89",2009,"88","VOSGES",42,42,17,1173,1190,60.18311254,45.05833306,948.5071398
"90",2009,"89","YONNE",93,6792,27345,3110,425227,60.18311254,45.05833306,948.5071398
"91",2009,"90","TERRITOIRE DE BELFORT",1,1,5,0,5,60.18311254,45.05833306,948.5071398
"92",2009,"91","ESSONNE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"93",2009,"92","HAUTS-DE-SEINE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"94",2009,"93","SEINE-SAINT-DENIS",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"95",2009,"94","VAL-D'OISE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"96",2009,"95","VAL-DE-MARNE",0,0,0,0,0,60.18311254,45.05833306,948.5071398
"97",2010,"01","AIN",299,872,3971,10781,56212,53.42202991,51.47380002,960.9740536
"98",2010,"02","AISNE",7,2407,17769,19,186623,53.42202991,51.47380002,960.9740536
"99",2010,"03","ALLIER",321,862,465,3907,20211,53.42202991,51.47380002,960.9740536
"100",2010,"04","ALPES-DE-HAUTE-PROVENCE",432,697,395,4985,40042,53.42202991,51.47380002,960.9740536
"101",2010,"05","HAUTE-MARNE",215,215,69,655,5043,53.42202991,51.47380002,960.9740536
"102",2010,"06","ALPES-MARITIMES",68,118,46,403,2690,53.42202991,51.47380002,960.9740536
"103",2010,"07","ARDECHE",8178,11088,1113,14658,521605,53.42202991,51.47380002,960.9740536
"104",2010,"08","ARDENNES",1,1,16,12,28,53.42202991,51.47380002,960.9740536
"105",2010,"09","ARIEGE",70,70,14,428,1986,53.42202991,51.47380002,960.9740536
"106",2010,"10","AUBE",41,7038,26184,988,500263,53.42202991,51.47380002,960.9740536
"107",2010,"11","AUDE",46552,67078,12433,148671,3602658,53.42202991,51.47380002,960.9740536
